gene_id_(GENCODE vM10)	gene_short_name	locus	DRG_normal_input1_TPM	DRG_normal_input2_TPM	DRG_normal_input3_TPM	DRG_normal_input4_TPM	DRG_normal_TRAP1 _TPM	DRG_normal_TRAP2_TPM	DRG_normal_TRAP3_TPM	DRG_normal_TRAP4_TPM	DRG_CIPN_input5_TPM	DRG_CIPN_input6_TPM	DRG_CIPN_input7_subsample1_TPM	DRG_CIPN_input7_subsample2_TPM	MERGED_DRG_CIPN_input7_TPM	DRG_CIPN_input8_TPM	DRG_CIPN_TRAP5_TPM	DRG_CIPN_TRAP6_TPM	DRG_CIPN_TRAP7_subsample1_TPM	DRG_CIPN_TRAP7_subsample2_TPM	MERGED_DRG_CIPN_TRAP7_TPM	DRG_CIPN_TRAP8_TPM
ENSMUSG00000000093.6	Tbx2	chr11:85832550-85841948	13.08	7.14	24.17	19.92	6.98	30.27	13.90	2.18	16.65	16.57	12.40	13.91	13.35	9.33	11.60	15.04	0.09	11.37	8.46	12.01
ENSMUSG00000000094.12	Tbx4	chr11:85886421-85916097	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.10	0.08	0.27	0.16	0.20	0.46	0.00	0.00	0.00	2.99	2.22	0.19
ENSMUSG00000000103.12	Zfy2	chrY:2106014-2170409	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000120.6	Ngfr	chr11:95568817-95587735	53.29	167.73	135.10	41.02	54.58	39.96	139.53	35.16	122.18	99.26	141.45	181.29	166.64	171.05	286.91	190.14	260.25	342.02	320.94	200.26
ENSMUSG00000000125.5	Wnt3	chr11:103774149-103817957	0.70	1.02	1.80	0.23	0.00	3.09	1.24	6.03	0.82	1.13	1.73	0.78	1.13	1.38	0.00	0.00	0.00	2.16	1.60	4.44
ENSMUSG00000000126.11	Wnt9a	chr11:59306927-59333552	9.60	19.14	12.50	8.44	9.08	0.63	7.18	3.85	19.41	21.91	20.80	25.47	23.75	21.11	8.78	45.70	40.12	12.20	19.40	14.75
ENSMUSG00000000127.14	Fer	chr17:63896017-64139494	15.17	12.94	19.41	18.05	34.77	12.94	29.39	20.09	23.09	25.38	22.80	17.19	19.25	11.63	4.59	14.61	0.09	3.73	2.80	14.47
ENSMUSG00000000131.15	Xpo6	chr7:126101714-126200501	22.05	23.69	27.97	18.99	8.98	3.99	20.77	9.04	21.25	20.86	28.93	17.66	21.80	15.76	12.12	23.87	22.31	17.51	18.75	11.35
ENSMUSG00000000134.17	Tfe3	chrX:7762559-7775202	76.60	37.50	38.82	98.45	122.37	98.82	50.16	113.52	30.85	35.32	23.60	32.04	28.93	34.12	31.78	38.85	16.03	37.93	32.28	49.17
ENSMUSG00000000142.15	Axin2	chr11:108920348-108950783	4.52	2.90	3.73	3.75	0.05	14.61	1.50	0.33	4.90	4.61	8.27	2.81	4.82	3.98	0.07	0.00	0.00	0.00	0.00	3.03
ENSMUSG00000000148.17	Brat1	chr5:140705010-140719379	4.31	7.37	7.25	1.17	0.10	6.04	0.88	0.00	7.56	5.82	5.20	3.13	3.89	3.82	9.76	26.78	6.84	0.00	1.76	2.17
ENSMUSG00000000149.10	Gna12	chr5:140724126-140830431	95.80	62.29	56.98	58.60	46.24	48.76	64.73	27.29	41.58	36.38	52.26	50.79	51.33	67.01	37.35	57.07	18.84	37.93	33.01	32.90
ENSMUSG00000000154.16	Slc22a18	chr7:143473735-143499334	1.67	16.32	5.87	0.94	1.35	33.66	17.15	3.68	4.29	4.61	8.27	4.22	5.71	4.74	47.83	33.35	17.34	26.14	23.88	15.32
ENSMUSG00000000157.15	Itgb2l	chr16:96361667-96525793	0.14	0.24	0.00	2.58	0.00	0.00	0.00	0.00	1.02	0.56	9.86	1.25	4.42	2.14	0.00	0.00	0.00	0.08	0.06	0.00
ENSMUSG00000000159.15	Igsf5	chr16:96361667-96525793	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000167.14	Pih1d2	chr9:50603900-50625000	0.63	0.78	0.00	0.00	0.00	0.04	0.00	0.00	1.33	0.40	0.40	1.25	0.94	0.92	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000168.9	Dlat	chr9:50634632-50659780	111.87	94.30	102.91	88.61	91.19	45.37	81.73	42.19	88.47	91.42	92.66	70.33	78.54	78.18	69.25	112.86	32.34	84.24	70.86	49.17
ENSMUSG00000000171.4	Sdhd	chr9:50596337-50603849	42.86	60.09	15.13	14.06	5.49	14.39	6.30	4.19	16.35	25.30	18.66	16.72	17.44	19.58	7.93	13.76	2.34	4.15	3.68	11.06
ENSMUSG00000000182.9	Fgf23	chr6:127072901-127081408	0.07	0.08	0.00	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000183.6	Fgf6	chr6:127015585-127028187	0.35	0.31	0.69	0.47	0.05	0.97	0.98	0.17	0.72	0.57	0.13	0.00	0.05	0.31	0.00	0.00	0.00	0.00	0.00	0.09
ENSMUSG00000000184.12	Ccnd2	chr6:127122965-127212411	125.44	77.74	77.98	154.48	29.93	15.92	25.26	84.22	134.95	148.41	124.65	135.81	131.71	111.84	7.86	29.35	16.97	198.60	151.79	92.47
ENSMUSG00000000194.13	Gpr107	chr2:31152315-31218775	50.02	38.28	53.81	94.00	95.03	121.41	113.34	146.68	50.57	53.51	67.46	59.23	62.26	59.06	65.39	52.79	5.06	85.32	64.63	89.16
ENSMUSG00000000197.7	Nalcn	chr14:123276640-123627144	162.52	64.25	123.64	149.79	112.84	63.45	109.78	117.54	65.59	80.11	92.39	70.95	78.83	83.84	58.64	96.17	69.37	46.06	52.07	77.25
ENSMUSG00000000202.9	Btbd17	chr11:114791216-114795945	0.83	0.24	0.41	0.00	0.00	0.04	0.00	1.17	0.82	1.05	1.33	0.63	0.89	0.31	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000204.15	Slfn4	chr11:83175185-83190221	3.34	1.80	1.59	2.58	0.00	0.04	0.05	0.00	3.88	3.23	6.00	3.13	4.18	1.68	0.00	0.00	0.00	0.00	0.00	0.09
ENSMUSG00000000214.11	Th	chr7:142892751-142931128	10.57	18.04	22.59	6.09	14.42	16.81	6.97	3.52	19.00	23.44	15.33	21.57	19.27	19.43	30.86	16.69	74.06	53.28	58.64	19.19
ENSMUSG00000000215.11	Ins2	chr7:142678655-142743381	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000216.8	Scnn1g	chr7:121734478-121768475	0.28	0.00	0.07	0.47	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000223.13	Drp2	chrX:134404550-134456573	216.57	132.42	145.74	210.50	68.84	69.26	40.81	106.99	227.30	173.87	196.51	300.84	262.48	212.51	46.19	54.75	0.66	87.14	64.85	96.35
ENSMUSG00000000244.17	Tspan32	chr7:142988968-143019644	2.99	0.86	1.86	0.47	0.05	0.34	4.44	0.00	2.76	1.05	3.07	1.09	1.82	0.76	0.46	7.06	0.00	0.00	0.00	1.23
ENSMUSG00000000247.11	Lhx2	chr2:38339280-38369733	0.00	0.00	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.16	0.10	0.00	0.00	0.03	0.00	0.00	0.00	0.00
ENSMUSG00000000248.16	Clec2g	chr6:128934380-128984707	0.35	0.24	0.69	0.94	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.31	0.20	0.76	0.07	0.00	0.00	0.08	0.06	0.76
ENSMUSG00000000253.12	Gmpr	chr13:45507443-45546382	23.93	25.03	26.66	22.97	9.98	4.44	10.59	24.28	24.01	25.54	34.93	40.01	38.14	35.04	19.33	20.42	18.37	43.90	37.32	42.64
ENSMUSG00000000263.15	Glra1	chr11:55514237-55608198	1.74	2.28	0.55	3.05	0.00	1.71	0.00	0.00	0.92	2.10	3.20	1.72	2.26	0.46	0.00	0.00	0.00	0.00	0.00	0.57
ENSMUSG00000000266.11	Mid2	chrX:140664598-140767715	8.97	10.04	13.88	4.92	0.00	0.34	0.57	1.84	10.22	8.97	6.13	6.88	6.60	5.97	0.72	0.00	0.00	0.58	0.43	2.55
ENSMUSG00000000275.16	Trim25	chr11:88999375-89020293	21.98	26.44	21.69	19.22	43.80	29.67	27.17	46.72	18.80	15.92	17.20	24.85	22.04	21.88	30.47	14.86	18.66	39.01	33.76	38.29
ENSMUSG00000000276.11	Dgke	chr11:89035178-89069098	77.36	43.93	66.45	74.07	84.31	79.81	43.50	81.04	46.38	53.67	54.93	58.14	56.96	54.93	53.53	46.22	86.81	83.08	84.04	38.11
ENSMUSG00000000278.10	Scpep1	chr11:88905927-88955465	4.52	5.81	15.40	9.38	0.10	0.45	8.37	11.39	11.14	10.35	38.80	33.76	35.61	32.13	33.35	22.68	77.53	67.97	70.44	39.71
ENSMUSG00000000282.12	Mnt	chr11:74830919-74845725	41.60	52.33	53.60	35.40	52.73	47.27	56.31	33.66	45.26	41.71	26.93	27.66	27.39	25.55	51.96	49.34	11.91	42.49	34.61	22.60
ENSMUSG00000000290.13	Itgb2	chr10:77530251-77565708	0.77	0.47	2.56	2.11	0.00	0.04	0.00	0.00	3.78	2.18	11.20	6.09	7.97	2.29	7.80	0.00	0.00	0.08	0.06	1.80
ENSMUSG00000000295.12	Hddc2	chr10:31313381-31328204	48.07	39.22	21.41	33.99	92.24	70.98	42.15	92.26	20.43	21.58	13.60	20.79	18.14	19.58	22.60	35.92	10.87	23.24	20.05	29.78
ENSMUSG00000000296.7	Tpd52l1	chr10:31332379-31445921	1.39	8.08	3.45	2.34	0.05	0.19	3.67	0.17	3.06	2.91	8.40	3.91	5.56	3.52	5.63	0.12	0.00	0.08	0.06	3.59
ENSMUSG00000000301.16	Pemt	chr11:59970613-60046489	0.42	4.08	1.38	0.00	0.05	0.04	0.00	0.00	1.74	1.05	1.73	1.25	1.43	1.68	0.13	0.00	0.00	3.82	2.83	5.39
ENSMUSG00000000303.12	Cdh1	chr8:106603350-106670246	627.80	678.51	743.61	1145.33	1559.19	1195.23	2099.27	1625.16	632.88	819.82	600.74	698.42	662.50	836.13	1262.93	1534.01	1309.86	776.57	914.01	1133.22
ENSMUSG00000000305.12	Cdh4	chr2:179442430-179899373	17.53	27.85	31.50	36.33	8.58	16.89	41.02	26.12	25.23	29.99	27.33	25.63	26.26	29.22	30.14	9.63	0.09	26.47	19.68	48.70
ENSMUSG00000000308.14	Ckmt1	chr2:121357713-121387168	29.50	20.55	46.42	21.80	20.95	33.07	27.84	17.75	31.47	29.42	46.13	37.51	40.68	44.22	21.62	39.92	0.28	26.56	19.79	29.12
ENSMUSG00000000317.11	Bcl6b	chr11:70224127-70229798	2.23	2.04	2.83	3.28	0.95	0.22	0.21	3.18	1.84	2.59	1.60	5.16	3.85	1.38	7.47	0.00	0.00	6.81	5.05	0.38
ENSMUSG00000000318.16	Clec10a	chr11:70156196-70170834	7.93	3.06	6.29	11.49	5.24	7.79	1.96	6.36	7.56	10.75	12.13	13.44	12.96	15.30	0.00	0.00	0.09	0.17	0.15	5.11
ENSMUSG00000000320.10	Alox12	chr11:70241456-70255353	2.71	0.63	2.07	2.34	0.05	0.00	1.60	3.18	3.58	2.67	3.73	2.97	3.25	1.38	0.07	0.28	0.19	5.98	4.48	2.46
ENSMUSG00000000325.15	Arvcf	chr16:18348181-18479073	10.09	26.12	9.74	8.44	1.05	9.10	8.94	20.93	13.18	13.34	12.67	14.53	13.85	13.92	25.62	0.43	0.19	19.84	14.77	14.66
ENSMUSG00000000326.12	Comt	chr16:18348181-18479073	47.73	53.11	72.45	57.43	31.63	22.93	26.09	49.73	69.88	56.75	126.52	117.37	120.73	113.37	49.53	43.50	175.22	85.23	108.42	107.22
ENSMUSG00000000339.14	Rtca	chr3:116488962-116508208	3.34	7.77	4.42	5.39	0.15	0.22	9.97	6.86	9.71	6.71	9.20	7.03	7.83	7.04	6.81	14.06	20.91	17.10	18.08	13.43
ENSMUSG00000000340.10	Dbt	chr3:116513069-116549981	20.11	15.93	17.20	6.56	0.35	0.75	6.25	8.37	23.70	18.59	22.93	8.91	14.06	8.26	4.98	25.31	0.09	9.71	7.23	7.85
ENSMUSG00000000346.8	Dazap2	chr15:100615627-100620731	427.44	269.87	261.98	275.67	88.40	157.46	142.22	140.15	253.15	255.84	243.57	227.86	233.64	185.13	188.63	273.04	158.81	118.93	129.21	144.48
ENSMUSG00000000355.13	Mcts1	chrX:38600577-38613426	97.05	222.33	125.29	101.50	216.06	217.70	145.94	129.76	175.20	165.95	140.38	112.21	122.57	123.16	229.84	278.91	162.56	187.57	181.12	181.64
ENSMUSG00000000359.3	Rem1	chr2:152626950-152635198	1.81	1.41	1.66	1.41	0.00	0.15	0.00	0.00	2.15	1.29	0.40	1.88	1.33	1.53	0.00	0.00	0.00	1.58	1.17	1.13
ENSMUSG00000000365.8	Rnf17	chr14:56402696-56525032	1.11	0.71	1.59	0.47	0.00	0.07	0.00	4.02	0.61	1.46	0.00	0.47	0.30	1.07	0.00	0.00	0.00	0.00	0.00	0.28
ENSMUSG00000000374.7	Trappc10	chr10:78186724-78244642	36.32	42.28	55.74	41.49	2.79	3.95	42.72	15.24	63.24	61.35	45.20	46.57	46.07	47.28	33.02	52.82	2.72	33.53	25.59	48.22
ENSMUSG00000000378.15	Ccm2	chr11:6546886-6596744	13.77	47.85	25.56	14.77	8.88	11.15	42.00	22.60	23.70	20.45	30.80	34.23	32.96	27.69	78.88	52.64	90.56	79.26	82.17	67.42
ENSMUSG00000000381.10	Wap	chr11:6635481-6638637	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000384.15	Tbrg4	chr11:6615597-6626067	35.48	26.99	38.61	53.68	43.70	80.71	59.82	71.50	30.75	34.60	31.33	28.60	29.60	37.94	41.15	46.80	86.44	42.74	54.00	35.27
ENSMUSG00000000385.7	Tmprss2	chr16:97564683-97611195	0.00	0.00	0.21	0.47	0.00	0.04	0.00	0.00	0.20	0.40	0.00	0.94	0.59	0.61	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000386.14	Mx1	chr16:97447034-97462907	1.46	0.39	0.48	0.00	0.00	0.00	4.34	2.51	0.51	0.97	0.00	0.63	0.40	1.53	0.00	8.38	0.00	0.00	0.00	1.89
ENSMUSG00000000392.17	Fap	chr2:62500942-62574075	2.78	5.96	7.11	2.58	0.15	0.52	1.91	2.01	5.93	7.36	2.40	4.69	3.85	9.03	0.07	7.24	0.09	0.00	0.02	2.36
ENSMUSG00000000394.15	Gcg	chr2:62474529-62483650	0.00	0.16	1.31	0.00	0.00	0.00	0.00	0.00	0.00	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.22	5.36	0.09
ENSMUSG00000000399.10	Ndufa9	chr6:126821720-126849136	16.28	95.94	30.87	6.56	67.15	27.66	31.41	9.21	41.78	27.48	37.46	42.04	40.36	28.15	111.32	62.42	94.78	69.13	75.74	45.10
ENSMUSG00000000402.2	Egfl6	chrX:166523006-166585720	4.10	1.18	0.83	1.88	0.00	0.22	0.00	4.69	2.55	2.43	1.73	1.72	1.72	2.29	0.00	0.00	0.00	0.08	0.06	0.76
ENSMUSG00000000409.14	Lck	chr4:129548343-129573641	2.64	0.78	2.35	2.81	0.05	0.07	1.91	0.17	1.63	1.70	4.53	1.41	2.56	3.21	0.00	0.00	0.00	0.00	0.00	1.89
ENSMUSG00000000411.7	Tssk3	chr4:129489013-129491022	0.00	0.00	0.14	0.23	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.85
ENSMUSG00000000416.16	Cttnbp2	chr6:18366477-18514843	28.32	10.12	22.86	32.35	7.73	34.41	28.26	16.91	26.46	27.81	21.73	18.75	19.85	13.77	6.36	0.06	0.09	1.33	1.01	12.39
ENSMUSG00000000420.15	Galnt1	chr18:24205343-24286818	270.35	178.00	259.84	273.09	103.81	206.00	193.73	135.29	248.35	310.32	223.71	196.91	206.77	198.90	156.92	99.07	43.22	187.40	150.24	168.49
ENSMUSG00000000435.1	Myf5	chr10:107482907-107486134	0.56	0.00	0.76	0.47	0.00	0.00	0.00	0.17	0.41	0.00	0.13	0.63	0.44	0.61	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000439.9	Mkrn2	chr6:115601901-115677780	12.94	8.94	14.30	13.36	7.38	1.12	21.13	6.86	16.04	13.26	19.73	11.25	14.37	15.45	12.51	17.36	24.09	23.65	23.77	13.90
ENSMUSG00000000440.12	Pparg	chr6:115360950-115490399	0.83	0.94	1.45	0.94	0.05	0.00	0.00	0.00	1.53	1.78	1.33	1.09	1.18	0.15	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000441.17	Raf1	chr6:115601901-115677780	42.02	46.52	51.18	23.21	15.56	14.95	28.93	9.88	53.43	53.03	49.46	36.73	41.41	41.46	52.61	50.77	59.16	42.41	46.73	22.50
ENSMUSG00000000486.13	Sept1	chr7:127214446-127238179	4.66	4.00	3.38	5.63	0.20	0.11	1.39	0.50	3.88	3.96	2.67	5.00	4.14	1.53	0.26	3.79	0.00	1.24	0.92	2.08
ENSMUSG00000000489.6	Pdgfb	chr15:79995899-80014808	15.65	7.22	6.29	11.25	0.05	6.67	4.55	5.02	8.79	7.68	4.13	5.16	4.78	9.94	2.42	0.03	0.09	0.00	0.02	1.70
ENSMUSG00000000530.16	Acvrl1	chr15:101128521-101145336	5.29	3.61	6.22	5.39	18.51	0.63	3.36	3.68	5.01	4.53	7.87	10.31	9.41	8.26	0.00	0.00	0.00	0.08	0.06	1.32
ENSMUSG00000000531.4	Grasp	chr15:101224206-101232755	21.57	15.30	20.58	25.32	1.50	10.62	15.70	12.39	21.96	21.02	16.13	19.85	18.48	15.30	3.08	5.93	0.09	5.39	4.03	10.02
ENSMUSG00000000532.10	Acvr1b	chr15:101174066-101213679	25.60	10.83	12.64	10.08	14.52	7.27	8.94	0.00	11.24	7.60	5.73	7.50	6.85	9.18	18.74	43.13	0.09	15.77	11.73	5.86
ENSMUSG00000000538.18	Tom1l2	chr11:60226713-60352905	130.44	216.36	208.73	76.89	199.24	240.63	169.14	45.04	178.47	164.82	85.06	77.20	80.09	84.91	207.43	222.94	48.84	62.58	59.04	59.10
ENSMUSG00000000544.14	Gpa33	chr1:166130237-166166510	0.00	0.08	0.00	0.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000552.9	Zfp385a	chr15:103313894-103340086	2.92	1.02	4.42	1.64	0.20	0.07	0.57	3.01	2.04	1.21	4.53	2.66	3.35	2.91	4.46	0.00	0.09	0.17	0.15	0.85
ENSMUSG00000000555.6	Itga5	chr15:103344288-103366763	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.08	0.13	0.00	0.05	0.15	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000560.9	Gabra2	chr5:70957596-71095849	39.93	18.83	45.66	43.13	30.58	8.16	34.46	49.73	49.24	62.97	42.26	39.85	40.74	35.34	38.26	48.91	10.50	16.60	15.03	27.80
ENSMUSG00000000561.14	Wdr77	chr3:105942697-105987423	77.92	61.74	49.39	45.48	41.61	18.56	48.87	48.05	72.12	64.10	48.66	26.10	34.39	36.72	95.13	23.48	9.94	9.38	9.52	32.72
ENSMUSG00000000562.5	Adora3	chr3:105870857-105924042	3.69	0.47	2.35	4.22	0.10	0.04	0.10	1.51	2.86	1.29	2.19	2.81	2.59	1.68	0.00	0.15	0.09	9.05	6.74	0.57
ENSMUSG00000000563.17	Atp5f1	chr3:105942697-105987423	138.72	227.11	191.39	122.13	117.83	134.42	113.45	123.40	233.94	193.68	270.64	265.36	267.30	287.18	281.66	195.67	300.93	195.62	222.76	199.41
ENSMUSG00000000567.5	Sox9	chr11:112782223-112787760	60.80	14.51	33.08	42.66	9.93	3.32	7.75	38.01	37.08	31.93	39.33	69.39	58.34	43.15	0.66	6.42	0.19	11.62	8.67	11.72
ENSMUSG00000000568.15	Hnrnpd	chr5:99955934-99978938	80.77	58.92	65.41	69.39	88.95	70.53	65.61	83.89	81.32	74.69	77.73	55.64	63.76	58.29	29.42	27.76	17.34	43.74	36.94	50.02
ENSMUSG00000000579.14	Dynlt1c	chr17:6601670-6609774	4.38	2.98	1.04	2.34	1.80	0.07	1.34	11.22	1.94	2.18	5.07	2.97	3.74	2.45	2.23	1.31	0.00	4.90	3.63	4.07
ENSMUSG00000000581.8	C1d	chr11:17257578-17269176	131.70	150.31	96.91	104.08	36.07	82.61	81.11	67.81	124.53	119.80	90.26	96.27	94.06	96.54	93.17	132.67	115.97	90.46	97.04	101.27
ENSMUSG00000000594.7	Gm2a	chr11:55098114-55113029	82.65	35.15	73.91	85.33	45.55	90.29	56.31	42.86	81.93	76.23	103.19	99.08	100.59	103.88	50.25	54.14	66.66	63.16	64.06	89.92
ENSMUSG00000000600.15	Krit1	chr5:3803183-3866596	122.72	61.58	78.12	112.52	24.99	34.30	33.01	59.94	83.26	74.37	96.92	82.52	87.81	89.96	24.31	34.94	2.34	59.34	44.65	42.74
ENSMUSG00000000605.9	Clcn4	chr7:7282308-7300851	269.45	226.72	207.76	271.21	125.36	105.46	151.52	139.81	201.46	194.81	207.18	130.49	158.69	147.64	221.91	262.95	267.84	119.26	157.55	121.78
ENSMUSG00000000606.15	Vmn2r88	chr14:51361674-51662953	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000617.14	Grm6	chr11:50850684-50866208	0.14	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.48	3.33	0.00
ENSMUSG00000000627.15	Sema4f	chr6:82911884-82939769	29.43	50.52	40.89	33.05	54.73	56.92	54.66	34.66	39.13	33.14	38.66	47.35	44.16	48.19	115.51	78.41	55.50	66.73	63.83	71.01
ENSMUSG00000000628.10	Hk2	chr6:82725024-82774454	31.24	25.81	14.44	16.64	0.30	19.79	10.75	9.71	17.16	17.54	18.13	14.22	15.66	17.75	12.38	0.00	0.00	10.54	7.82	4.25
ENSMUSG00000000631.20	Myo18a	chr11:77763245-77865980	74.02	59.54	77.01	92.59	152.00	129.05	105.39	92.43	68.65	65.39	79.19	65.48	70.52	55.08	67.55	86.84	4.59	40.75	31.43	54.18
ENSMUSG00000000632.13	Sez6	chr11:77930799-77979048	294.77	82.92	71.07	614.63	37.76	124.80	66.49	216.50	172.85	162.23	518.08	326.94	397.22	508.41	24.63	37.35	53.53	52.95	53.10	77.91
ENSMUSG00000000673.8	Haao	chr17:83831355-83846790	0.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.61	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000682.7	Cd52	chr4:134065911-134095082	13.15	7.61	5.94	7.50	7.23	0.82	2.27	2.51	18.29	11.24	17.33	22.97	20.90	11.47	0.00	0.00	0.00	2.07	1.54	7.85
ENSMUSG00000000686.11	Abhd15	chr11:77508098-77607815	0.00	0.08	0.76	0.00	0.00	0.00	0.00	0.00	0.41	0.08	0.00	0.16	0.10	0.15	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000690.5	Hoxb6	chr11:96291023-96306910	32.56	17.10	20.51	30.24	0.25	3.13	7.59	19.09	14.61	19.97	19.06	17.35	17.98	21.42	16.18	38.18	0.09	1.66	1.26	8.60
ENSMUSG00000000693.10	Loxl3	chr6:83034172-83057808	2.02	1.10	0.76	2.81	0.05	0.22	0.00	0.00	2.35	2.18	2.67	3.28	3.06	1.68	0.00	0.00	0.00	1.00	0.74	0.00
ENSMUSG00000000701.7	Tcl1b5	chr12:105176357-105181143	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000706.15	Btn1a1	chr13:23456991-23465901	0.00	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
