Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Degradation of GLI2 by the proteasome Homo sapiens R-HSA-5610783	3/59	0.029128148078053927	0.18047892787517086	0	0	4.736867392696989	16.74980129120858	PSMD9;PSMD13;PSMB3
The role of GTSE1 in G2/M progression after G2 checkpoint Homo sapiens R-HSA-8852276	3/59	0.029128148078053927	0.18047892787517086	0	0	4.736867392696989	16.74980129120858	PSMD9;PSMD13;PSMB3
SCF(Skp2)-mediated degradation of p27/p21 Homo sapiens R-HSA-187577	3/59	0.029128148078053927	0.18047892787517086	0	0	4.736867392696989	16.74980129120858	PSMD9;PSMD13;PSMB3
Gene Expression Homo sapiens R-HSA-74160	27/1631	0.02914155165690832	0.18047892787517086	0	0	1.5369553503176732	5.434044322501442	L3MBTL1;CARS;POM121;GTF3C3;PSMD13;EHMT2;TACO1;ISG20L2;PRKAG2;MED16;GTF2E1;PSMD9;NUAK1;PSMB3;NUP88;SF3A3;ARID3A;GTF2F2;MED7;EIF3M;LAS1L;RRAGB;AGO4;HNRNPA2B1;RPL24;INTS7;FAM98B
Dectin-1 mediated noncanonical NF-kB signaling Homo sapiens R-HSA-5607761	3/61	0.03172674986039011	0.192091214136832	0	0	4.573063244162672	15.779789666925833	PSMD9;PSMD13;PSMB3
Constitutive Signaling by AKT1 E17K in Cancer Homo sapiens R-HSA-5674400	2/25	0.0321555684150982	0.192091214136832	0	0	7.667313664596273	26.353857765209163	AKT1S1;FOXO1
SLC-mediated transmembrane transport Homo sapiens R-HSA-425407	7/268	0.0330660141977647	0.192091214136832	0	0	2.3896674189541454	8.146971940595977	SLC7A5;POM121;SLC4A10;CTNS;NUP88;SLC17A7;SLC26A6
Autodegradation of Cdh1 by Cdh1:APC/C Homo sapiens R-HSA-174084	3/62	0.03307011683061145	0.192091214136832	0	0	4.495325682146386	15.325128151374313	PSMD9;PSMD13;PSMB3
p53-Dependent G1/S DNA damage checkpoint Homo sapiens R-HSA-69580	3/63	0.03444273686839422	0.192091214136832	0	0	4.4201793721973095	14.889184743623948	PSMD9;PSMD13;PSMB3
p53-Dependent G1 DNA Damage Response Homo sapiens R-HSA-69563	3/63	0.03444273686839422	0.192091214136832	0	0	4.4201793721973095	14.889184743623948	PSMD9;PSMD13;PSMB3
Post-translational protein modification Homo sapiens R-HSA-597592	11/521	0.035217274027750343	0.192091214136832	0	0	1.9325490196078432	6.466731431006018	POM121;PHC2;ST6GAL2;GALNT13;GALNT4;DPH2;CETN2;NUP88;ST6GALNAC4;RNF2;SENP1
Hedgehog ligand biogenesis Homo sapiens R-HSA-5358346	3/64	0.035844504514888464	0.192091214136832	0	0	4.3474968756891865	14.47092600221402	PSMD9;PSMD13;PSMB3
Fc epsilon receptor (FCERI) signaling Homo sapiens R-HSA-2454202	9/395	0.0361289316140279	0.192091214136832	0	0	2.0831880805138367	6.917562049718665	SPRED3;PSMD9;DUSP5;ERBB3;AGO4;PSMB3;PSMD13;AKT1S1;FOXO1
Disease Homo sapiens R-HSA-1643685	14/725	0.03644580604965278	0.192091214136832	0	0	1.770572937398827	5.864011658820985	POM121;PSMD13;GTF2F2;GTF2E1;FOXO1;PSMD9;GYS1;ERBB3;PSMB3;AKT1S1;AP2S1;AP1S1;RPL24;NUP88
ER-Phagosome pathway Homo sapiens R-HSA-1236974	3/65	0.03727530491170615	0.192091214136832	0	0	4.277158975842616	14.06939040622308	PSMD9;PSMD13;PSMB3
G1/S DNA Damage Checkpoints Homo sapiens R-HSA-69615	3/65	0.03727530491170615	0.192091214136832	0	0	4.277158975842616	14.06939040622308	PSMD9;PSMD13;PSMB3
Apoptosis Homo sapiens R-HSA-109581	5/163	0.0379190628330418	0.192091214136832	0	0	2.8088664871985793	9.191457503144017	PSMD9;PSMD13;PSMB3;HMGB2;PLEC
O-linked glycosylation of mucins Homo sapiens R-HSA-913709	3/66	0.038735014110743586	0.192091214136832	0	0	4.209054025197523	13.683682327062991	GALNT13;GALNT4;ST6GALNAC4
APC/C:Cdc20 mediated degradation of Securin Homo sapiens R-HSA-174154	3/66	0.038735014110743586	0.192091214136832	0	0	4.209054025197523	13.683682327062991	PSMD9;PSMD13;PSMB3
Activation of NF-kappaB in B cells Homo sapiens R-HSA-1169091	3/66	0.038735014110743586	0.192091214136832	0	0	4.209054025197523	13.683682327062991	PSMD9;PSMD13;PSMB3
PPARA activates gene expression Homo sapiens R-HSA-1989781	4/113	0.03940902847907638	0.192091214136832	0	0	3.2506818745350854	10.511926122898016	HMGCS2;MED16;MED29;MED7
The role of Nef in HIV-1 replication and disease pathogenesis Homo sapiens R-HSA-164952	2/28	0.03963491530502145	0.192091214136832	0	0	6.781593406593407	21.891287668023136	AP2S1;AP1S1
Energy dependent regulation of mTOR by LKB1-AMPK Homo sapiens R-HSA-380972	2/28	0.03963491530502145	0.192091214136832	0	0	6.781593406593407	21.891287668023136	RRAGB;PRKAG2
Assembly of the pre-replicative complex Homo sapiens R-HSA-68867	3/67	0.04022349939760821	0.192091214136832	0	0	4.14307735426009	13.312966587373474	PSMD9;PSMD13;PSMB3
Programmed Cell Death Homo sapiens R-HSA-5357801	5/166	0.040496233912546024	0.192091214136832	0	0	2.756105786796324	8.837580810323923	PSMD9;PSMD13;PSMB3;HMGB2;PLEC
Cyclin E associated events during G1/S transition Homo sapiens R-HSA-69202	3/68	0.0417406195749561	0.192091214136832	0	0	4.079130734736116	12.956463547441851	PSMD9;PSMD13;PSMB3
Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha) Homo sapiens R-HSA-400206	4/116	0.04271527207159813	0.192091214136832	0	0	3.163127413127413	9.973969446082833	HMGCS2;MED16;MED29;MED7
Cyclin A:Cdk2-associated events at S phase entry Homo sapiens R-HSA-69656	3/69	0.043286225251916395	0.192091214136832	0	0	4.017121891561353	12.61344465615085	PSMD9;PSMD13;PSMB3
Switching of origins to a post-replicative state Homo sapiens R-HSA-69052	3/70	0.04486015914803131	0.192091214136832	0	0	3.956964058630614	12.283228415863155	PSMD9;PSMD13;PSMB3
Orc1 removal from chromatin Homo sapiens R-HSA-68949	3/70	0.04486015914803131	0.192091214136832	0	0	3.956964058630614	12.283228415863155	PSMD9;PSMD13;PSMB3
NEP/NS2 Interacts with the Cellular Export Machinery Homo sapiens R-HSA-168333	2/30	0.04494949968255246	0.192091214136832	0	0	6.29655612244898	19.533274935722194	POM121;NUP88
Regulation of Glucokinase by Glucokinase Regulatory Protein Homo sapiens R-HSA-170822	2/30	0.04494949968255246	0.192091214136832	0	0	6.29655612244898	19.533274935722194	POM121;NUP88
Transport of Ribonucleoproteins into the Host Nucleus Homo sapiens R-HSA-168271	2/30	0.04494949968255246	0.192091214136832	0	0	6.29655612244898	19.533274935722194	POM121;NUP88
Diseases of signal transduction Homo sapiens R-HSA-5663202	7/288	0.04575780309169086	0.192091214136832	0	0	2.2173093485432003	6.83905330581515	PSMD9;ERBB3;PSMB3;PSMD13;AKT1S1;GTF2F2;FOXO1
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1 Homo sapiens R-HSA-174178	3/71	0.046462256363851595	0.192091214136832	0	0	3.898575573727249	11.96517672162298	PSMD9;PSMD13;PSMB3
Cdc20:Phospho-APC/C mediated degradation of Cyclin A Homo sapiens R-HSA-174184	3/71	0.046462256363851595	0.192091214136832	0	0	3.898575573727249	11.96517672162298	PSMD9;PSMD13;PSMB3
Export of Viral Ribonucleoproteins from Nucleus Homo sapiens R-HSA-168274	2/31	0.047699948510497296	0.192091214136832	0	0	6.079125615763547	18.49771516186041	POM121;NUP88
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint Homo sapiens R-HSA-179419	3/72	0.04809234464424655	0.192091214136832	0	0	3.841879508676155	11.658691532721566	PSMD9;PSMD13;PSMB3
Removal of licensing factors from origins Homo sapiens R-HSA-69300	3/72	0.04809234464424655	0.192091214136832	0	0	3.841879508676155	11.658691532721566	PSMD9;PSMD13;PSMB3
PI-3K cascade:FGFR1 Homo sapiens R-HSA-5654689	4/122	0.0497832366338484	0.192091214136832	0	0	3.0013742556115437	9.004353768795188	ERBB3;AGO4;AKT1S1;FOXO1
PI-3K cascade:FGFR3 Homo sapiens R-HSA-5654710	4/122	0.0497832366338484	0.192091214136832	0	0	3.0013742556115437	9.004353768795188	ERBB3;AGO4;AKT1S1;FOXO1
PI3K events in ERBB4 signaling Homo sapiens R-HSA-1250342	4/122	0.0497832366338484	0.192091214136832	0	0	3.0013742556115437	9.004353768795188	ERBB3;AGO4;AKT1S1;FOXO1
PIP3 activates AKT signaling Homo sapiens R-HSA-1257604	4/122	0.0497832366338484	0.192091214136832	0	0	3.0013742556115437	9.004353768795188	ERBB3;AGO4;AKT1S1;FOXO1
PI-3K cascade:FGFR4 Homo sapiens R-HSA-5654720	4/122	0.0497832366338484	0.192091214136832	0	0	3.0013742556115437	9.004353768795188	ERBB3;AGO4;AKT1S1;FOXO1
PI-3K cascade:FGFR2 Homo sapiens R-HSA-5654695	4/122	0.0497832366338484	0.192091214136832	0	0	3.0013742556115437	9.004353768795188	ERBB3;AGO4;AKT1S1;FOXO1
Nuclear import of Rev protein Homo sapiens R-HSA-180746	2/32	0.05051019798919633	0.192091214136832	0	0	5.876190476190477	17.543836895340778	POM121;NUP88
Vpr-mediated nuclear import of PICs Homo sapiens R-HSA-180910	2/32	0.05051019798919633	0.192091214136832	0	0	5.876190476190477	17.543836895340778	POM121;NUP88
