Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Alzheimer's disease	10/169	1.3544619008634193E-4	0.006400356273720032	0	0	4.573659722709312	40.73729497404983	NDUFA8;COX7B;UQCRB;UQCRQ;NDUFA4;ATP5C1;CHP1;UQCRC2;SDHB;COX6B1
Cytoplasmic ribosomal proteins	8/108	1.3690601655016112E-4	0.006400356273720032	0	0	5.792177121771218	51.52845807965311	RPS27;RPL10;RPS29;RPS3;RPL23A;RPS2;RPL39;UBA52
Metabolism	38/1615	0.0010369761798659641	0.04474951053113891	0	0	1.8141278808178773	12.465682351079717	COX7B;ACADVL;UQCRB;GALNT18;APIP;ATP5C1;MAN1C1;POLR2J;TRDMT1;POLR2L;NDUFA8;ATP6V1G2;GSTM1;NDUFA4;MBOAT7;NME2;DOLK;HS3ST5;GNG12;SDHB;PAFAH2;ATP5J2;COX6B1;COQ3;DPM3;UQCRQ;DAD1;LPCAT3;POLR1C;POLE3;BLVRB;SUCLG1;UQCRC2;FAR2;PHPT1;GCLM;ITPA;B4GALT5
Asparagine N-linked glycosylation	6/85	0.0012152085318724035	0.0486951418843156	0	0	5.464459591041869	36.68204065745453	SEC13;DPM3;DAD1;MAN1C1;DOLK;B4GALT5
p75 neurotrophin receptor signaling via NF-kB	3/16	0.001314527735026268	0.04916333728998242	0	0	16.47826086956522	109.32136051211945	NGFR;IRAK1;UBA52
Protein processing in the endoplasmic reticulum	8/166	0.0023477008580501607	0.08231626133538376	0	0	3.65509832313513	22.12913044977151	TRAM1;SEC13;SSR4;DAD1;FBXO2;DNAJC5;MAN1C1;HSPBP1
Pyrimidine metabolism	6/100	0.0027858023557538413	0.09193147773987677	0	0	4.5889642272621	26.99788312948223	POLR1C;POLE3;NME2;POLR2J;ITPA;POLR2L
Sulfur amino acid metabolism	3/24	0.00437567649809049	0.13150705308087168	0	0	10.196687370600413	55.38528706880351	APIP;SLC25A10;GCLM
N-glycan biosynthesis	4/48	0.00445389306334503	0.13150705308087168	0	0	6.504793388429752	35.21679997052553	DPM3;DAD1;MAN1C1;DOLK
Peroxisome	5/78	0.004697591583848699	0.131767443926956	0	0	4.911508849115089	26.329151668598282	PECR;PEX11B;MPV17;FAR2;PEX14
Cardiac muscle contraction	5/80	0.005230687864783998	0.13973409010208682	0	0	4.780048661800486	25.110611316967013	COX7B;UQCRB;UQCRQ;UQCRC2;COX6B1
PI3K/AKT signalling	2/9	0.006543357636644159	0.16685561973442606	0	0	20.334192882929344	102.2668547885198	NTRK1;MTOR
RNA polymerase	3/29	0.007505206049860733	0.17698614637633509	0	0	8.233695652173912	40.28054301240319	POLR1C;POLR2J;POLR2L
TRAF6-mediated IRF7 activation in TLR7/8 or 9 signaling	2/10	0.00810427583890057	0.17698614637633509	0	0	17.791516245487365	85.6726174976294	IRAK1;UBE2V1
IKK complex recruitment by IRAK1	2/10	0.00810427583890057	0.17698614637633509	0	0	17.791516245487365	85.6726174976294	IRAK1;UBE2V1
Activation of mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	4/57	0.008202566498724978	0.17698614637633509	0	0	5.397735849056604	25.926988789817145	RPS27;RPS29;RPS3;RPS2
T cell receptor regulation of apoptosis	16/603	0.010892740391875983	0.2263269392534232	0	0	1.9830419546446778	8.96267288371416	IL15RA;TRAP1;BNIP3;SHISA5;ATP5C1;VEZF1;SLC3A2;RRAGA;CENPF;HAX1;RPS29;CASP6;DAD1;MAP4K5;TMEM9B;CNIH4
Transport to the Golgi and subsequent modification	3/36	0.01365491401010474	0.26436216971138654	0	0	6.484848484848484	27.843707447838216	SEC13;MAN1C1;B4GALT5
Chemiosmotic coupling formation of ATP	2/13	0.013665780608966505	0.26436216971138654	0	0	12.937315392189038	55.53808810841058	ATP5C1;ATP5J2
Viral messenger RNA biosynthesis	2/14	0.015798038943076558	0.29542332823553163	0	0	11.858604091456076	49.18794179874158	POLR2J;POLR2L
Cap-dependent translation initiation	4/73	0.019028940118779814	0.3219176349273714	0	0	4.1427140974967065	16.41258107523747	RPL10;RPL23A;RPL39;UBA52
Post-translational protein modification	7/196	0.020385817213368275	0.3219176349273714	0	0	2.6595860566448803	10.353544726475445	SEC13;DPM3;DAD1;GALNT18;MAN1C1;DOLK;B4GALT5
Cell death signaling by NRIF in the nucleus	2/16	0.0204550650156011	0.3219176349273714	0	0	10.163486333161423	39.53113163033645	NGFR;UBA52
Inhibitor of DNA binding (ID) signaling pathway	2/16	0.0204550650156011	0.3219176349273714	0	0	10.163486333161423	39.53113163033645	ELK4;ID3
N-glycan precursor substrate biosynthesis	2/16	0.0204550650156011	0.3219176349273714	0	0	10.163486333161423	39.53113163033645	DPM3;DOLK
Messenger RNA splicing: minor pathway	3/42	0.02065781614507196	0.3219176349273714	0	0	5.4855072463768115	21.28191141093787	SNRPG;POLR2J;POLR2L
Mitochondrial pathway of apoptosis: caspases	4/77	0.02266810325211421	0.3436974574171911	0	0	3.9149190535491907	14.825001713829941	CASP6;APIP;HSPB1;LAMTOR5
Purine metabolism	6/164	0.027739929454363377	0.4079770745340399	0	0	2.7212407845319238	9.755328214224223	POLR1C;POLE3;NME2;POLR2J;ITPA;POLR2L
ER-associated degradation (ERAD) pathway	2/19	0.028362042614665874	0.4079770745340399	0	0	8.368655765555319	29.81503965000729	FBXO2;MAN1C1
p75 neurotrophin receptor-mediated signaling	5/124	0.030037609008714557	0.4212774663472217	0	0	3.005888486781574	10.536556088961497	NTRK1;NGFR;IRAK1;CASP6;UBA52
Signaling by Hippo	2/20	0.031228057820039946	0.4272912301717661	0	0	7.903329322101885	27.396403453174507	MOB1A;DVL2
Y branching of actin filaments	2/21	0.0342030912245543	0.456855575642261	0	0	7.486984609538286	25.27186173251632	NTRK1;ARPC1B
RNA polymerase III transcription termination	2/23	0.04046598709110697	0.5044759724024669	0	0	6.773250816572117	21.72380320021747	POLR1C;POLR2L
Deadenylation of mRNA	2/23	0.04046598709110697	0.5044759724024669	0	0	6.773250816572117	21.72380320021747	CNOT6;EIF4A3
Mitochondrial fatty acid beta-oxidation	2/23	0.04046598709110697	0.5044759724024669	0	0	6.773250816572117	21.72380320021747	PECR;ACADVL
Regulatory RNA pathways	2/25	0.04712304963722351	0.5524054666072237	0	0	6.183644639773976	18.89099121934174	POLR2J;POLR2L
Glutathione conjugation	2/25	0.04712304963722351	0.5524054666072237	0	0	6.183644639773976	18.89099121934174	GSTM1;GCLM
Nucleotide excision repair	3/58	0.047264638854094	0.5524054666072237	0	0	3.8865612648221344	11.861757214674201	POLE3;POLR2J;POLR2L
Disease	15/674	0.051615286513259695	0.5680104832505314	0	0	1.6435025520761484	4.871238681276523	CALCA;ACADVL;ATP6V1G2;RPL10;RPL23A;MTOR;RPS27;RPS29;RPS3;RPS2;STX2;RPL39;UBA52;POLR2J;POLR2L
RNA polymerase III transcription initiation from type 2 promoter	2/27	0.054147798717709396	0.5680104832505314	0	0	5.688375451263538	16.587518734826208	POLR1C;POLR2L
Cooperation of prefoldin and TriC/CCT  in actin and tubulin folding	2/27	0.054147798717709396	0.5680104832505314	0	0	5.688375451263538	16.587518734826208	CCT3;TUBB4B
RNA polymerase III transcription initiation From type 3 promoter	2/28	0.05779009782812359	0.5680104832505314	0	0	5.469314079422382	15.592674445078956	POLR1C;POLR2L
Dual incision reaction in TC-NER	2/28	0.05779009782812359	0.5680104832505314	0	0	5.469314079422382	15.592674445078956	POLR2J;POLR2L
Messenger RNA capping	2/28	0.05779009782812359	0.5680104832505314	0	0	5.469314079422382	15.592674445078956	POLR2J;POLR2L
DNA repair	4/105	0.0594996480842109	0.5680104832505314	0	0	2.8255625562556257	7.973129701559354	ALKBH3;UBA52;POLR2J;POLR2L
Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	2/30	0.06531924234075888	0.5680104832505314	0	0	5.078133058277462	13.855526647621478	DPM3;DOLK
p38-alpha and p38-beta regulation	2/30	0.06531924234075888	0.5680104832505314	0	0	5.078133058277462	13.855526647621478	CCM2;PAK3
O-glycan biosynthesis	2/30	0.06531924234075888	0.5680104832505314	0	0	5.078133058277462	13.855526647621478	GALNT18;B4GALT5
Antigen presentation: folding, assembly, and peptide loading of class I MHC proteins	7/255	0.0671623939452791	0.5680104832505314	0	0	2.020739444971537	5.457293416050264	ANAPC13;SEC13;FBXO2;UBE2V1;UBA52;ASB3;TRIM11
Phospholipase C delta-1 interactions in phospholipid-associated cell signaling	1/5	0.0678372591404378	0.5680104832505314	0	0	17.73111510791367	47.70811298418376	TGM2
Acyl chain remodeling of diacylglycerol and triacylglycerol	1/5	0.0678372591404378	0.5680104832505314	0	0	17.73111510791367	47.70811298418376	PNPLA2
Axonal growth stimulation	1/5	0.0678372591404378	0.5680104832505314	0	0	17.73111510791367	47.70811298418376	NGFR
Beta-oxidation of myristoyl-CoA to lauroyl-CoA	1/5	0.0678372591404378	0.5680104832505314	0	0	17.73111510791367	47.70811298418376	ACADVL
Sulfide oxidation to sulfate	1/5	0.0678372591404378	0.5680104832505314	0	0	17.73111510791367	47.70811298418376	SLC25A10
Heme degradation	1/5	0.0678372591404378	0.5680104832505314	0	0	17.73111510791367	47.70811298418376	BLVRB
Kit receptor transcriptional targets	1/5	0.0678372591404378	0.5680104832505314	0	0	17.73111510791367	47.70811298418376	BNIP3
N-glycan trimming and elongation in the cis-Golgi	1/5	0.0678372591404378	0.5680104832505314	0	0	17.73111510791367	47.70811298418376	MAN1C1
Activated NOTCH1 signaling in the nucleus	2/31	0.0692001703776259	0.5709014056154136	0	0	4.902776048798706	13.094098713614162	MIB2;UBA52
FSH regulation of apoptosis	7/263	0.07634448103483894	0.5827922241819863	0	0	1.956787109375	5.033833928963254	RAB1A;YTHDF2;DNAJC5;TYRO3;PRKX;IFI35;RPRM
Activation of TRKA receptors	1/6	0.08084415615087263	0.5827922241819863	0	0	14.184172661870504	35.67648462811393	NTRK1
Cell cycle negative regulation by p75 neurotrophin receptor	1/6	0.08084415615087263	0.5827922241819863	0	0	14.184172661870504	35.67648462811393	NGFR
eIF4E release	1/6	0.08084415615087263	0.5827922241819863	0	0	14.184172661870504	35.67648462811393	MTOR
Methionine salvage pathway	1/6	0.08084415615087263	0.5827922241819863	0	0	14.184172661870504	35.67648462811393	APIP
NADE-dependent death signaling	1/6	0.08084415615087263	0.5827922241819863	0	0	14.184172661870504	35.67648462811393	NGFR
NF-kappaB activation	1/6	0.08084415615087263	0.5827922241819863	0	0	14.184172661870504	35.67648462811393	IRAK1
Cysteine and methionine metabolism	2/34	0.08127425158882715	0.5827922241819863	0	0	4.442463898916968	11.150255738202839	APIP;TRDMT1
TOR signaling	2/34	0.08127425158882715	0.5827922241819863	0	0	4.442463898916968	11.150255738202839	RRAGA;MTOR
Fatty acid beta oxidation	2/34	0.08127425158882715	0.5827922241819863	0	0	4.442463898916968	11.150255738202839	ACADVL;PNPLA2
Signaling by NOTCH1	3/73	0.08206878023240093	0.5827922241819863	0	0	3.0513975155279502	7.629096744902012	KAT2A;MIB2;UBA52
Gene expression	19/968	0.08501910411736589	0.5961964676230284	0	0	1.4455216016859853	3.5630362641919233	RARS2;TRAM1;SSR4;RPL10;EIF4A3;HSPB1;RPL23A;KAT2A;CNOT6;RPS27;RPS29;POLR1C;RPS3;SNRPG;RPS2;RPL39;UBA52;POLR2J;POLR2L
SNARE interactions in vesicular transport	2/36	0.08965588277234554	0.6070369275296766	0	0	4.18071777447441	10.082956721740786	STX2;USE1
PI3K/PLC/TRK pathway	2/36	0.08965588277234554	0.6070369275296766	0	0	4.18071777447441	10.082956721740786	NTRK1;TRPV1
Phase I of biological oxidations: non-cytochrome P450 enzymes	1/7	0.0936702052860262	0.6070369275296766	0	0	11.819544364508394	27.988386986969154	ESD
Ubiquinone and other terpenoid-quinone biosynthesis	1/7	0.0936702052860262	0.6070369275296766	0	0	11.819544364508394	27.988386986969154	COQ3
PI3K/AKT activation	2/37	0.09393854173788635	0.6070369275296766	0	0	4.061062403300671	9.604877664140924	NTRK1;MTOR
Interleukin-1 signaling pathway	4/125	0.09785876102845384	0.6070369275296766	0	0	2.3561232156273477	5.476172388345981	ELK4;IRAK1;HSPB1;UBE2V1
p38 alpha/beta MAPK downstream pathway	2/38	0.09827908827085222	0.6070369275296766	0	0	3.9480545527476933	9.159265503794593	ELK4;HSPB1
Apoptosis modulation and signaling	3/80	0.10118475050064549	0.6070369275296766	0	0	2.7730095990965555	6.352430411393226	IRAK1;CASP6;BNIP3
Tricarboxylic acid (TCA) cycle	2/39	0.10267508821972908	0.6070369275296766	0	0	3.8411552346570397	8.743182846793678	SUCLG1;SDHB
FAS pathway and stress induction of heat shock protein regulation	2/39	0.10267508821972908	0.6070369275296766	0	0	3.8411552346570397	8.743182846793678	CASP6;HSPB1
HIV-1 transcription initiation	2/39	0.10267508821972908	0.6070369275296766	0	0	3.8411552346570397	8.743182846793678	POLR2J;POLR2L
Aflatoxin B1 metabolism	1/8	0.10631791157018673	0.6070369275296766	0	0	10.130524152106887	22.70576166577243	GSTM1
S6K1 signaling	1/8	0.10631791157018673	0.6070369275296766	0	0	10.130524152106887	22.70576166577243	MTOR
Cytoskeletal remodeling regulation and cell spreading by IPP complex components	1/8	0.10631791157018673	0.6070369275296766	0	0	10.130524152106887	22.70576166577243	RSU1
Degradation of cysteine and homocysteine	1/8	0.10631791157018673	0.6070369275296766	0	0	10.130524152106887	22.70576166577243	SLC25A10
Thiamine metabolism	1/8	0.10631791157018673	0.6070369275296766	0	0	10.130524152106887	22.70576166577243	PHPT1
Downregulation of ERBB4 signaling	1/8	0.10631791157018673	0.6070369275296766	0	0	10.130524152106887	22.70576166577243	UBA52
Mitochondrial beta-oxidation of saturated fatty acids	1/8	0.10631791157018673	0.6070369275296766	0	0	10.130524152106887	22.70576166577243	ACADVL
Pyruvate metabolism and citric acid (TCA) cycle	2/40	0.10712416368170764	0.6070369275296766	0	0	3.739882196465894	8.354024346171547	SUCLG1;SDHB
C-Myb transcription factor network	3/85	0.11582077843743904	0.6173026553311283	0	0	2.6032608695652173	5.611878863243436	SLC25A3;GSTM1;CASP6
Axonogenesis regulation by p75 neurotrophin receptor	1/9	0.11878974561639767	0.6173026553311283	0	0	8.863758992805755	18.883353861350294	NGFR
COPII-mediated vesicle transport	1/9	0.11878974561639767	0.6173026553311283	0	0	8.863758992805755	18.883353861350294	SEC13
Calcium-activated potassium channels	1/9	0.11878974561639767	0.6173026553311283	0	0	8.863758992805755	18.883353861350294	KCNMB2
Calcium/calmodulin-dependent protein kinase activation	1/9	0.11878974561639767	0.6173026553311283	0	0	8.863758992805755	18.883353861350294	CAMK1
West Nile virus infection	1/9	0.11878974561639767	0.6173026553311283	0	0	8.863758992805755	18.883353861350294	CASP6
Folding of actin by CCT/TriC	1/9	0.11878974561639767	0.6173026553311283	0	0	8.863758992805755	18.883353861350294	CCT3
Opsins	1/9	0.11878974561639767	0.6173026553311283	0	0	8.863758992805755	18.883353861350294	RHO
Glycerophospholipid biosynthesis	3/86	0.11883901386053805	0.6173026553311283	0	0	2.571765322158198	5.477822913662657	MBOAT7;LPCAT3;PNPLA2
Mitotic prometaphase	2/43	0.12076688455687817	0.6215616718936574	0	0	3.4657039711191335	7.326127938285303	CENPF;RPS27
Apoptosis	6/242	0.12375238435376866	0.6285508446561279	0	0	1.8145837213633824	3.7915229847285308	NTRK1;IRAK1;CASP6;CHP1;PRKX;UBA52
Vasopressin-regulated water reabsorption	2/44	0.12540556955542015	0.6285508446561279	0	0	3.383015299982809	7.0238239351588545	DCTN6;PRKX
RNA polymerase III transcription	2/45	0.13008624628376658	0.6285508446561279	0	0	3.3041726135504996	6.739050417054895	POLR1C;POLR2L
Signal-dependent regulation of myogenesis by corepressor MITR	1/10	0.1310881440726684	0.6285508446561279	0	0	7.87849720223821	16.008202860337175	CAMK1
Calcitonin-like ligand receptors	1/10	0.1310881440726684	0.6285508446561279	0	0	7.87849720223821	16.008202860337175	CALCA
Electron transport reaction in mitochondria	1/10	0.1310881440726684	0.6285508446561279	0	0	7.87849720223821	16.008202860337175	SDHB
Fanconi anemia pathway regulation	1/10	0.1310881440726684	0.6285508446561279	0	0	7.87849720223821	16.008202860337175	UBA52
IRAK2-mediated activation of TAK1 complex	1/10	0.1310881440726684	0.6285508446561279	0	0	7.87849720223821	16.008202860337175	UBA52
Agrin in postsynaptic differentiation	2/47	0.13956537281930567	0.631651239190393	0	0	3.156999598876855	6.216833585412514	DAG1;PAK3
Regulation of transcription by NOTCH1 intracellular domain	2/47	0.13956537281930567	0.631651239190393	0	0	3.156999598876855	6.216833585412514	KAT2A;UBA52
Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	2/47	0.13956537281930567	0.631651239190393	0	0	3.156999598876855	6.216833585412514	IRAK1;UBE2V1
Regulated proteolysis of p75 neurotrophin receptor	1/11	0.14321551004652938	0.631651239190393	0	0	7.090287769784172	13.779298717531033	NGFR
SLBP-dependent processing of replication-dependent histone pre-mRNAs	1/11	0.14321551004652938	0.631651239190393	0	0	7.090287769784172	13.779298717531033	SNRPG
Glutathione biosynthesis and recycling	1/11	0.14321551004652938	0.631651239190393	0	0	7.090287769784172	13.779298717531033	GCLM
Mammalian target of rapamycin complex 1 (mTORC1)-mediated signaling	1/11	0.14321551004652938	0.631651239190393	0	0	7.090287769784172	13.779298717531033	MTOR
Class B GPCRs (secretin family receptors)	3/95	0.14724174277206442	0.631651239190393	0	0	2.319116257088847	4.442683551306317	CALCA;WNT9A;GNG12
Amino acid and oligopeptide SLC transporters	2/49	0.14918834405339954	0.631651239190393	0	0	3.022351947154159	5.75016275302209	SLC25A10;SLC3A2
Deadenylation-dependent mRNA decay	2/49	0.14918834405339954	0.631651239190393	0	0	3.022351947154159	5.75016275302209	CNOT6;EIF4A3
M phase pathway	3/96	0.15052481327322534	0.631651239190393	0	0	2.2940626460963065	4.344099737455988	SEC13;CENPF;RPS27
MAPK signaling pathway	7/314	0.15092772301550153	0.631651239190393	0	0	1.627442996742671	3.0774201899456073	ELK4;NTRK1;CASP6;CHP1;HSPB1;PRKX;GNG12
Rab GTPases mark targets in the endocytotic machinery	1/12	0.15517421345640053	0.631651239190393	0	0	6.445389143230869	12.009093108785684	RAB1A
Assembly of HIV virion	1/12	0.15517421345640053	0.631651239190393	0	0	6.445389143230869	12.009093108785684	UBA52
Salmonella infection	1/12	0.15517421345640053	0.631651239190393	0	0	6.445389143230869	12.009093108785684	ARPC1B
Caspase-mediated cleavage of cytoskeletal proteins	1/12	0.15517421345640053	0.631651239190393	0	0	6.445389143230869	12.009093108785684	CASP6
Glutathione metabolism	2/51	0.15893999366564573	0.631651239190393	0	0	2.8986959404700507	5.331364320825576	GSTM1;GCLM
Integrated breast cancer pathway	4/152	0.16339054796400151	0.631651239190393	0	0	1.9236363636363636	3.484882612712878	DAG1;RHO;RAD54L;MTOR
Dilated cardiomyopathy	3/100	0.1638850287087678	0.631651239190393	0	0	2.1990138951142986	3.9771148516444095	DAG1;PRKX;EMD
Integrin-mediated cell adhesion	3/100	0.1638850287087678	0.631651239190393	0	0	2.1990138951142986	3.9771148516444095	RHO;ZYX;PAK3
DNA replication	5/207	0.1640061660700015	0.631651239190393	0	0	1.7632976801329767	3.1877799219866505	SEC13;CENPF;RPS27;POLE3;UBA52
Downregulation of ERBB2-ERBB3 signaling	1/13	0.16696659155380633	0.631651239190393	0	0	5.9079736211031175	10.575045544296069	UBA52
Keap1-Nrf2 pathway	1/13	0.16696659155380633	0.631651239190393	0	0	5.9079736211031175	10.575045544296069	GCLM
MAP kinase downregulation by phosphorylation of MEK1 by Cdk5/p35	1/13	0.16696659155380633	0.631651239190393	0	0	5.9079736211031175	10.575045544296069	NGFR
NICD trafficking to the nucleus	1/13	0.16696659155380633	0.631651239190393	0	0	5.9079736211031175	10.575045544296069	KAT2A
Organic anion transporters	1/13	0.16696659155380633	0.631651239190393	0	0	5.9079736211031175	10.575045544296069	SLC25A10
RNA polymerase II transcription	3/101	0.16727924375312064	0.631651239190393	0	0	2.1764640638864243	3.891715248843477	SNRPG;POLR2J;POLR2L
Melanogenesis	3/101	0.16727924375312064	0.631651239190393	0	0	2.1764640638864243	3.891715248843477	DVL2;PRKX;WNT9A
Protein folding	2/53	0.16880587986380127	0.631651239190393	0	0	2.7847384441141076	4.954066022093192	CCT3;TUBB4B
Activation of Rac	1/14	0.17859494938402729	0.631651239190393	0	0	5.453237410071942	9.393937025303781	PAK3
Polyamine metabolism	1/14	0.17859494938402729	0.631651239190393	0	0	5.453237410071942	9.393937025303781	APIP
Porphyrin metabolism	1/14	0.17859494938402729	0.631651239190393	0	0	5.453237410071942	9.393937025303781	BLVRB
Retrograde neurotrophin signaling	1/14	0.17859494938402729	0.631651239190393	0	0	5.453237410071942	9.393937025303781	NTRK1
Visual signal transduction	1/14	0.17859494938402729	0.631651239190393	0	0	5.453237410071942	9.393937025303781	RHO
Initiation of the second proteolytic cleavage of Notch receptor by receptor-ligand binding	1/14	0.17859494938402729	0.631651239190393	0	0	5.453237410071942	9.393937025303781	UBA52
Basal cell carcinoma	2/55	0.1787722570727229	0.631651239190393	0	0	2.679381513520877	4.612937328716323	DVL2;WNT9A
Vibrio cholerae infection	2/55	0.1787722570727229	0.631651239190393	0	0	2.679381513520877	4.612937328716323	ATP6V1G2;PRKX
Pathogenic Escherichia coli infection	2/57	0.18882604867193728	0.631651239190393	0	0	2.5816869051526092	4.303488939256632	ARPC1B;TUBB4B
Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon	1/15	0.19006156011535325	0.631651239190393	0	0	5.063463514902364	8.407411574262907	UBA52
Association of licensing factors with the pre-replicative complex	1/15	0.19006156011535325	0.631651239190393	0	0	5.063463514902364	8.407411574262907	UBA52
Calcium signaling by HBx of hepatitis B virus	1/15	0.19006156011535325	0.631651239190393	0	0	5.063463514902364	8.407411574262907	LAMTOR5
Signaling to p38 via RIT and RIN	1/15	0.19006156011535325	0.631651239190393	0	0	5.063463514902364	8.407411574262907	NTRK1
Spliceosomal assembly	1/15	0.19006156011535325	0.631651239190393	0	0	5.063463514902364	8.407411574262907	SNRPG
Stress induction of HSP regulation	1/15	0.19006156011535325	0.631651239190393	0	0	5.063463514902364	8.407411574262907	HSPB1
Coagulation intrinsic pathway	1/15	0.19006156011535325	0.631651239190393	0	0	5.063463514902364	8.407411574262907	SERPING1
TRAF6-mediated induction of TAK1 complex	1/15	0.19006156011535325	0.631651239190393	0	0	5.063463514902364	8.407411574262907	UBA52
TrkA receptor signaling pathway	1/15	0.19006156011535325	0.631651239190393	0	0	5.063463514902364	8.407411574262907	NTRK1
Glycosylation of mammalian N-linked oligosaccarides	1/15	0.19006156011535325	0.631651239190393	0	0	5.063463514902364	8.407411574262907	MAN1C1
Signaling by NGF	5/221	0.19684447097685956	0.631651239190393	0	0	1.6478271154366044	2.678281547514422	NTRK1;NGFR;IRAK1;UBA52;MTOR
Acyl chain remodelling of phosphatidylinositol	1/16	0.20136866558685315	0.631651239190393	0	0	4.725659472422063	7.573426430446704	MBOAT7
B cell survival pathway	1/16	0.20136866558685315	0.631651239190393	0	0	4.725659472422063	7.573426430446704	MTOR
Riboflavin metabolism	1/16	0.20136866558685315	0.631651239190393	0	0	4.725659472422063	7.573426430446704	PHPT1
SREBF and miR-33 in cholesterol and lipid homeostasis	1/16	0.20136866558685315	0.631651239190393	0	0	4.725659472422063	7.573426430446704	MTOR
Serotonin receptor 2 and ELK-SRF/GATA4 signaling	1/16	0.20136866558685315	0.631651239190393	0	0	4.725659472422063	7.573426430446704	ELK4
Cell-extracellular matrix interactions	1/16	0.20136866558685315	0.631651239190393	0	0	4.725659472422063	7.573426430446704	RSU1
Sprouty regulation of FGF signaling	1/16	0.20136866558685315	0.631651239190393	0	0	4.725659472422063	7.573426430446704	UBA52
TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)	1/16	0.20136866558685315	0.631651239190393	0	0	4.725659472422063	7.573426430446704	UBA52
Interleukin-10 anti-inflammatory signaling pathway	1/16	0.20136866558685315	0.631651239190393	0	0	4.725659472422063	7.573426430446704	BLVRB
JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1	1/16	0.20136866558685315	0.631651239190393	0	0	4.725659472422063	7.573426430446704	IRAK1
PI3K subunit p85 role in regulation of actin organization and cell migration	1/16	0.20136866558685315	0.631651239190393	0	0	4.725659472422063	7.573426430446704	ARPC1B
Neurotrophic factor-mediated Trk receptor signaling	2/60	0.20404360833730525	0.631651239190393	0	0	2.4477779160961037	3.890550948953069	NTRK1;NGFR
HIV genome transcription	2/61	0.20914675669245097	0.631651239190393	0	0	2.4061677782536868	3.7649766522922357	POLR2J;POLR2L
mTOR signaling pathway	3/113	0.20945410037317322	0.631651239190393	0	0	1.9378458498023716	3.0293387938403744	RRAGA;BNIP3;MTOR
Oocyte meiosis	3/113	0.20945410037317322	0.631651239190393	0	0	1.9378458498023716	3.0293387938403744	ANAPC13;CHP1;PRKX
