""	"Gene.name"	"logFC"	"logCPM"	"F"	"PValue"	"Gene.type"	"Gene.description"	"NCBI.gene..formerly.Entrezgene..ID"	"de"
"ENSMUSG00000079641.3"	"Rpl39"	2.18894661184336	7.01427503278322	40.1471980535457	1.65905547963679e-07	"protein_coding"	"ribosomal protein L39 [Source:MGI Symbol;Acc:MGI:1914498]"	67248	"up"
"ENSMUSG00000028333.10"	"Anp32b"	-2.05804341952947	8.08812073308436	38.3658665611271	2.62206890143818e-07	"protein_coding"	"acidic (leucine-rich) nuclear phosphoprotein 32 family, member B [Source:MGI Symbol;Acc:MGI:1914878]"	67628	"down"
"ENSMUSG00000072772.3"	"Grcc10"	-1.90111584802002	10.0732926260867	37.5206696308868	3.27060361258652e-07	"protein_coding"	"gene rich cluster, C10 gene [Source:MGI Symbol;Acc:MGI:1315201]"	14790	"down"
"ENSMUSG00000038690.15"	"Atp5j2"	1.87709717020018	8.67219726385403	35.8667382263851	5.07789331924419e-07	"protein_coding"	"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2 [Source:MGI Symbol;Acc:MGI:1927558]"	57423	"up"
"ENSMUSG00000038650.15"	"Rnh1"	2.72580154223787	5.89404796786904	35.2908113193607	5.93260466876024e-07	"protein_coding"	"ribonuclease/angiogenin inhibitor 1 [Source:MGI Symbol;Acc:MGI:1195456]"	107702	"up"
"ENSMUSG00000036752.4"	"Tubb4b"	1.99455363524684	8.93461895911171	34.8346305070638	6.87438389527005e-07	"protein_coding"	"tubulin, beta 4B class IVB [Source:MGI Symbol;Acc:MGI:1915472]"	227613	"up"
"ENSMUSG00000024158.17"	"Hagh"	2.92586689460302	5.91154168294325	34.4048606995753	7.67304133132466e-07	"protein_coding"	"hydroxyacyl glutathione hydrolase [Source:MGI Symbol;Acc:MGI:95745]"	14651	"up"
"ENSMUSG00000031231.4"	"Cox7b"	2.42792246188699	6.91711995985178	34.9646087506079	8.07062621580492e-07	"protein_coding"	"cytochrome c oxidase subunit 7B [Source:MGI Symbol;Acc:MGI:1913392]"	66142	"up"
"ENSMUSG00000029062.14"	"Cdk11b"	-1.9996684869716	8.42572974871764	34.058981761865	8.31004673831579e-07	"protein_coding"	"cyclin-dependent kinase 11B [Source:MGI Symbol;Acc:MGI:88353]"	12537	"down"
"ENSMUSG00000003865.16"	"Gys1"	-1.83663208080002	7.57074507840333	34.0537080832501	8.32215070192797e-07	"protein_coding"	"glycogen synthase 1, muscle [Source:MGI Symbol;Acc:MGI:101805]"	14936	"down"
"ENSMUSG00000031691.14"	"Tnpo2"	-1.79092337060975	9.29487706902126	33.7424377559492	9.07046505548473e-07	"protein_coding"	"transportin 2 (importin 3, karyopherin beta 2b) [Source:MGI Symbol;Acc:MGI:2384849]"	212999	"down"
"ENSMUSG00000023939.7"	"Mrpl14"	-1.93178157028936	8.4266179988376	33.3210924135987	1.01979921455263e-06	"protein_coding"	"mitochondrial ribosomal protein L14 [Source:MGI Symbol;Acc:MGI:1333864]"	68463	"down"
"ENSMUSG00000042532.14"	"Golga7b"	-1.96558955896715	7.86978520129488	33.3092914032211	1.02316181119375e-06	"protein_coding"	"golgi autoantigen, golgin subfamily a, 7B [Source:MGI Symbol;Acc:MGI:1918396]"	71146	"down"
"ENSMUSG00000015542.17"	"Nat9"	-2.2229358500541	6.5469658368165	33.0796008824741	1.09098612869844e-06	"protein_coding"	"N-acetyltransferase 9 (GCN5-related, putative) [Source:MGI Symbol;Acc:MGI:1913426]"	66176	"down"
"ENSMUSG00000023087.15"	"Noct"	-2.22808561597998	10.5083192706857	36.9977207097914	1.1011416906556e-06	"protein_coding"	"nocturnin [Source:MGI Symbol;Acc:MGI:109382]"	12457	"down"
"ENSMUSG00000078235.3"	"Fam43b"	4.00376295213673	4.94065482589533	32.9432988191775	1.13345598051768e-06	"protein_coding"	"family with sequence similarity 43, member B [Source:MGI Symbol;Acc:MGI:3651622]"	625638	"up"
"ENSMUSG00000029550.11"	"Sppl3"	-1.90300428734023	8.06349635460513	32.7706218190459	1.18977152537493e-06	"protein_coding"	"signal peptide peptidase 3 [Source:MGI Symbol;Acc:MGI:1891433]"	74585	"down"
"ENSMUSG00000030122.12"	"Ptms"	-1.94384893840223	9.1762928897603	32.203112903773	1.70067213068372e-06	"protein_coding"	"parathymosin [Source:MGI Symbol;Acc:MGI:1916452]"	69202	"down"
"ENSMUSG00000022054.11"	"Nefm"	-1.66240028232054	10.6341018417524	30.6361534544907	2.18904455842985e-06	"protein_coding"	"neurofilament, medium polypeptide [Source:MGI Symbol;Acc:MGI:97314]"	18040	"down"
"ENSMUSG00000022565.15"	"Plec"	-1.65750185167605	8.78994489785827	30.4016869710339	2.34347506173311e-06	"protein_coding"	"plectin [Source:MGI Symbol;Acc:MGI:1277961]"	18810	"down"
"ENSMUSG00000028072.6"	"Ntrk1"	2.07986414516142	8.36883983661845	31.6895413724957	2.62723380056647e-06	"protein_coding"	"neurotrophic tyrosine kinase, receptor, type 1 [Source:MGI Symbol;Acc:MGI:97383]"	18211	"up"
"ENSMUSG00000042492.12"	"Tbc1d10b"	-1.84069762395187	7.07071498270778	29.9645291714469	2.66282272145914e-06	"protein_coding"	"TBC1 domain family, member 10b [Source:MGI Symbol;Acc:MGI:1915699]"	68449	"down"
"ENSMUSG00000027712.13"	"Anxa5"	1.77774277790866	8.46612709602121	29.6862438329812	2.8897116618817e-06	"protein_coding"	"annexin A5 [Source:MGI Symbol;Acc:MGI:106008]"	11747	"up"
"ENSMUSG00000020086.6"	"Macroh2a2"	-2.20564452656858	6.1933482427983	29.4106867590533	3.13450279221397e-06	"protein_coding"	"macroH2A.2 histone [Source:MGI Symbol;Acc:MGI:3037658]"	404634	"down"
"ENSMUSG00000067847.13"	"Romo1"	1.8856688908287	7.5919619648356	29.1582005903597	3.37799028234733e-06	"protein_coding"	"reactive oxygen species modulator 1 [Source:MGI Symbol;Acc:MGI:1914317]"	67067	"up"
"ENSMUSG00000044894.14"	"Uqcrq"	1.72996351923603	7.96059626901935	28.7725242855884	3.7890780715843e-06	"protein_coding"	"ubiquinol-cytochrome c reductase, complex III subunit VII [Source:MGI Symbol;Acc:MGI:107807]"	22272	"up"
"ENSMUSG00000034981.9"	"Parm1"	1.65903650531369	8.51605606033794	28.7702328128971	3.79167217158681e-06	"protein_coding"	"prostate androgen-regulated mucin-like protein 1 [Source:MGI Symbol;Acc:MGI:2443349]"	231440	"up"
"ENSMUSG00000010095.13"	"Slc3a2"	2.75617198505519	5.36149960193855	28.5381748135645	4.06430539022645e-06	"protein_coding"	"solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2 [Source:MGI Symbol;Acc:MGI:96955]"	17254	"up"
"ENSMUSG00000004849.14"	"Ap1s1"	-1.57632092748184	9.93264239640606	28.037098412912	4.72581551422379e-06	"protein_coding"	"adaptor protein complex AP-1, sigma 1 [Source:MGI Symbol;Acc:MGI:1098244]"	11769	"down"
"ENSMUSG00000031149.7"	"Praf2"	2.22793367223558	6.41485202805448	27.9516676941087	4.8494705719305e-06	"protein_coding"	"PRA1 domain family 2 [Source:MGI Symbol;Acc:MGI:1859607]"	54637	"up"
"ENSMUSG00000031347.12"	"Cetn2"	-1.68020983991637	8.0506539739684	27.9004228970959	4.92527372620897e-06	"protein_coding"	"centrin 2 [Source:MGI Symbol;Acc:MGI:1347085]"	26370	"down"
"ENSMUSG00000021792.15"	"Prxl2a"	-1.69763280458508	8.06445836076687	27.4741774345191	5.60625680091555e-06	"protein_coding"	"peroxiredoxin like 2A [Source:MGI Symbol;Acc:MGI:1917814]"	70564	"down"
"ENSMUSG00000015092.9"	"Edf1"	2.23280214393322	6.15183055211142	27.3836711670395	5.76321122033797e-06	"protein_coding"	"endothelial differentiation-related factor 1 [Source:MGI Symbol;Acc:MGI:1891227]"	59022	"up"
"ENSMUSG00000036751.7"	"Cox6b1"	1.71613995348438	7.0448048253761	27.070752858737	6.34247632182577e-06	"protein_coding"	"cytochrome c oxidase, subunit 6B1 [Source:MGI Symbol;Acc:MGI:107460]"	110323	"up"
"ENSMUSG00000018395.19"	"Kif3a"	-1.73926336751349	8.11067959568192	27.0580161966492	6.36731449329832e-06	"protein_coding"	"kinesin family member 3A [Source:MGI Symbol;Acc:MGI:107689]"	16568	"down"
"ENSMUSG00000028944.14"	"Prkag2"	-1.50409827747242	8.78072462179023	26.9521022531684	6.57786919669241e-06	"protein_coding"	"protein kinase, AMP-activated, gamma 2 non-catalytic subunit [Source:MGI Symbol;Acc:MGI:1336153]"	108099	"down"
"ENSMUSG00000029428.13"	"Stx2"	1.80678316047904	6.95167928246538	26.9078726241019	6.66795451010216e-06	"protein_coding"	"syntaxin 2 [Source:MGI Symbol;Acc:MGI:108059]"	13852	"up"
"ENSMUSG00000063146.11"	"Clip2"	-2.09824489476474	6.26295644495474	26.7659776488373	6.96583141890053e-06	"protein_coding"	"CAP-GLY domain containing linker protein 2 [Source:MGI Symbol;Acc:MGI:1313136]"	269713	"down"
"ENSMUSG00000058546.8"	"Rpl23a"	1.63855846990841	8.5381446419788	26.3758606438416	7.859270947633e-06	"protein_coding"	"ribosomal protein L23A [Source:MGI Symbol;Acc:MGI:3040672]"	268449	"up"
"ENSMUSG00000003380.11"	"Rabac1"	1.74609938269724	7.84644313235486	25.8595522157659	9.2312468732636e-06	"protein_coding"	"Rab acceptor 1 (prenylated) [Source:MGI Symbol;Acc:MGI:1201692]"	14470	"up"
"ENSMUSG00000049751.6"	"Rpl36al"	-1.74509428299317	8.9686987003299	26.1915785404651	9.51645992218817e-06	"protein_coding"	"ribosomal protein L36A-like [Source:MGI Symbol;Acc:MGI:1913733]"	66483	"down"
"ENSMUSG00000061111.8"	"Mcrip1"	-1.63506130601051	7.71842540757922	25.7207608451967	9.64153374187982e-06	"protein_coding"	"MAPK regulated corepressor interacting protein 1 [Source:MGI Symbol;Acc:MGI:2384752]"	192173	"down"
"ENSMUSG00000030669.13"	"Calca"	1.54006469226004	10.3936824161525	25.6373574147353	9.89728213368399e-06	"protein_coding"	"calcitonin/calcitonin-related polypeptide, alpha [Source:MGI Symbol;Acc:MGI:2151253]"	12310	"up"
"ENSMUSG00000027940.18"	"Tpm3"	-1.78988321271482	6.84051145047136	25.6138291147551	9.97071369842811e-06	"protein_coding"	"tropomyosin 3, gamma [Source:MGI Symbol;Acc:MGI:1890149]"	59069	"down"
"ENSMUSG00000022658.10"	"Tagln3"	2.00032120965108	6.69489528021253	25.5608689800954	1.01381082228749e-05	"protein_coding"	"transgelin 3 [Source:MGI Symbol;Acc:MGI:1926784]"	56370	"up"
"ENSMUSG00000028648.13"	"Ndufs5"	-1.75183179431978	9.78361643874698	25.6538866786433	1.28199022210708e-05	"protein_coding"	"NADH:ubiquinone oxidoreductase core subunit S5 [Source:MGI Symbol;Acc:MGI:1890889]"	595136	"down"
"ENSMUSG00000025781.14"	"Atp5c1"	2.09154334030831	6.41659112943117	24.6870369480176	1.33717683868123e-05	"protein_coding"	"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 [Source:MGI Symbol;Acc:MGI:1261437]"	11949	"up"
"ENSMUSG00000030123.15"	"Plxnd1"	-1.86487602870973	7.27071758578106	24.8882045112454	1.33784319418903e-05	"protein_coding"	"plexin D1 [Source:MGI Symbol;Acc:MGI:2154244]"	67784	"down"
"ENSMUSG00000025487.15"	"Psmd13"	-1.64728385616198	9.55273131274186	24.8274078016826	1.34415292976961e-05	"protein_coding"	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 13 [Source:MGI Symbol;Acc:MGI:1345192]"	23997	"down"
"ENSMUSG00000040667.11"	"Nup88"	-1.60629419685688	7.91210166356734	24.5867251869904	1.38071544765217e-05	"protein_coding"	"nucleoporin 88 [Source:MGI Symbol;Acc:MGI:104900]"	19069	"down"
"ENSMUSG00000020032.14"	"Nuak1"	-1.77275774657299	7.43935004386449	24.5184872156491	1.41118425710201e-05	"protein_coding"	"NUAK family, SNF1-like kinase, 1 [Source:MGI Symbol;Acc:MGI:1925226]"	77976	"down"
"ENSMUSG00000049940.7"	"Pgrmc2"	1.68742690706356	7.03225377866631	24.430376220557	1.45157749982316e-05	"protein_coding"	"progesterone receptor membrane component 2 [Source:MGI Symbol;Acc:MGI:1918054]"	70804	"up"
"ENSMUSG00000021972.14"	"Hmbox1"	-1.72890399731142	8.08807684396808	24.488223559898	1.49648689262694e-05	"protein_coding"	"homeobox containing 1 [Source:MGI Symbol;Acc:MGI:2445066]"	219150	"down"
"ENSMUSG00000019302.16"	"Atp6v0a1"	-1.45160109656541	9.209635512253	24.3176133227432	1.50505600212451e-05	"protein_coding"	"ATPase, H+ transporting, lysosomal V0 subunit A1 [Source:MGI Symbol;Acc:MGI:103286]"	11975	"down"
"ENSMUSG00000041556.8"	"Fbxo2"	2.86883749406279	7.01442508005027	30.8731728696193	1.53405358069634e-05	"protein_coding"	"F-box protein 2 [Source:MGI Symbol;Acc:MGI:2446216]"	230904	"up"
"ENSMUSG00000004980.16"	"Hnrnpa2b1"	-1.6024312094322	7.6162766736349	24.2189740912889	1.55353783405648e-05	"protein_coding"	"heterogeneous nuclear ribonucleoprotein A2/B1 [Source:MGI Symbol;Acc:MGI:104819]"	53379	"down"
"ENSMUSG00000029632.7"	"Ndufa4"	1.95205308261823	7.75353918841288	25.7413133094405	1.60840805884379e-05	"protein_coding"	"Ndufa4, mitochondrial complex associated [Source:MGI Symbol;Acc:MGI:107686]"	17992	"up"
"ENSMUSG00000004897.16"	"Hdgf"	-1.72397009768276	8.68304894031584	24.5168444149087	1.6184545894168e-05	"protein_coding"	"heparin binding growth factor [Source:MGI Symbol;Acc:MGI:1194494]"	15191	"down"
"ENSMUSG00000071076.6"	"Jund"	-1.51503008065617	7.72070911623454	23.8425582959893	1.75420327025507e-05	"protein_coding"	"jun D proto-oncogene [Source:MGI Symbol;Acc:MGI:96648]"	16478	"down"
"ENSMUSG00000005625.15"	"Psmd4"	-1.47403457471284	10.1196573544312	23.558315833176	1.92373694520368e-05	"protein_coding"	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 4 [Source:MGI Symbol;Acc:MGI:1201670]"	19185	"down"
"ENSMUSG00000064341.1"	"mt-Nd1"	1.63380775647189	8.46032009769113	23.5364969517856	1.93744473634536e-05	"protein_coding"	"mitochondrially encoded NADH dehydrogenase 1 [Source:MGI Symbol;Acc:MGI:101787]"	17716	"up"
"ENSMUSG00000017943.15"	"Gdap1l1"	-1.66917078652212	7.65322645109363	23.4910602962771	1.96632169689522e-05	"protein_coding"	"ganglioside-induced differentiation-associated protein 1-like 1 [Source:MGI Symbol;Acc:MGI:2385163]"	228858	"down"
"ENSMUSG00000035725.13"	"Prkx"	2.10328674404889	5.92283999102722	23.2907534169849	2.09913604056644e-05	"protein_coding"	"protein kinase, X-linked [Source:MGI Symbol;Acc:MGI:1309999]"	19108	"up"
"ENSMUSG00000025437.15"	"Usp33"	-1.97345918284644	6.05904818254997	23.2304380275683	2.14095431819441e-05	"protein_coding"	"ubiquitin specific peptidase 33 [Source:MGI Symbol;Acc:MGI:2159711]"	170822	"down"
"ENSMUSG00000020267.6"	"Hint1"	1.38635593425473	10.3404984608249	23.1551885741674	2.19436049775454e-05	"protein_coding"	"histidine triad nucleotide binding protein 1 [Source:MGI Symbol;Acc:MGI:1321133]"	15254	"up"
"ENSMUSG00000001525.10"	"Tubb5"	1.39008935229709	10.617263799519	23.0427955762379	2.27675652958952e-05	"protein_coding"	"tubulin, beta 5 class I [Source:MGI Symbol;Acc:MGI:107812]"	22154	"up"
"ENSMUSG00000047557.2"	"Lxn"	2.00601213014887	6.06572177938696	22.5889128493742	2.64415387131474e-05	"protein_coding"	"latexin [Source:MGI Symbol;Acc:MGI:107633]"	17035	"up"
"ENSMUSG00000002580.7"	"Mien1"	1.7357658496957	6.82294337558345	22.5805030411648	2.65152320463663e-05	"protein_coding"	"migration and invasion enhancer 1 [Source:MGI Symbol;Acc:MGI:1913678]"	103742	"up"
"ENSMUSG00000037894.13"	"H2az1"	1.60616908396868	7.12635649169169	22.4779373432255	2.74316066864675e-05	"protein_coding"	"H2A.Z variant histone 1 [Source:MGI Symbol;Acc:MGI:1888388]"	51788	"up"
"ENSMUSG00000004044.9"	"Cavin1"	-1.54797443291454	9.56968566408174	22.4562323498916	2.79228505775013e-05	"protein_coding"	"caveolae associated 1 [Source:MGI Symbol;Acc:MGI:1277968]"	19285	"down"
"ENSMUSG00000000120.6"	"Ngfr"	1.71498175037548	7.26575601276068	22.382208858	2.83170228396532e-05	"protein_coding"	"nerve growth factor receptor (TNFR superfamily, member 16) [Source:MGI Symbol;Acc:MGI:97323]"	18053	"up"
"ENSMUSG00000073889.10"	"Il11ra1"	-1.67896928133395	7.53027172582631	22.3192179582826	2.89160249939187e-05	"protein_coding"	"interleukin 11 receptor, alpha chain 1 [Source:MGI Symbol;Acc:MGI:107426]"	16157	"down"
"ENSMUSG00000037331.15"	"Larp1"	-1.38330129597823	8.4475958419906	22.1974578907753	3.01120390699721e-05	"protein_coding"	"La ribonucleoprotein domain family, member 1 [Source:MGI Symbol;Acc:MGI:1890165]"	73158	"down"
"ENSMUSG00000009863.14"	"Sdhb"	3.12886937084133	5.73558122072551	25.3105670448442	3.01512736793551e-05	"protein_coding"	"succinate dehydrogenase complex, subunit B, iron sulfur (Ip) [Source:MGI Symbol;Acc:MGI:1914930]"	67680	"up"
"ENSMUSG00000026605.14"	"Cenpf"	2.81621829255725	5.0812909059796	22.1906680898646	3.01802489752487e-05	"protein_coding"	"centromere protein F [Source:MGI Symbol;Acc:MGI:1313302]"	108000	"up"
"ENSMUSG00000042305.12"	"Tmem183a"	-1.41666228789627	8.30889129858001	21.8420922792159	3.39102328597793e-05	"protein_coding"	"transmembrane protein 183A [Source:MGI Symbol;Acc:MGI:1914729]"	57439	"down"
"ENSMUSG00000032583.7"	"Mon1a"	-1.5479989234938	6.97986915449366	21.8015163581261	3.43749706477782e-05	"protein_coding"	"MON1 homolog A, secretory traffciking associated [Source:MGI Symbol;Acc:MGI:1920075]"	72825	"down"
"ENSMUSG00000054312.6"	"Mrps21"	1.93635521404546	6.74202225718724	22.105719695192	3.49393720839065e-05	"protein_coding"	"mitochondrial ribosomal protein S21 [Source:MGI Symbol;Acc:MGI:1913542]"	66292	"up"
"ENSMUSG00000027254.13"	"Map1a"	-1.38456916177353	10.3780158998721	21.7115811217876	3.54291314181982e-05	"protein_coding"	"microtubule-associated protein 1 A [Source:MGI Symbol;Acc:MGI:1306776]"	17754	"down"
"ENSMUSG00000041697.8"	"Cox6a1"	1.44547767021875	8.89171410303466	21.5139408787443	3.786723316154e-05	"protein_coding"	"cytochrome c oxidase subunit 6A1 [Source:MGI Symbol;Acc:MGI:103099]"	12861	"up"
"ENSMUSG00000031207.16"	"Msn"	-1.40639328578022	9.34983280334772	21.4239028603423	3.90359780734999e-05	"protein_coding"	"moesin [Source:MGI Symbol;Acc:MGI:97167]"	17698	"down"
"ENSMUSG00000034341.17"	"Wbp2"	1.58002376573166	6.89716294877118	21.3800113717442	3.96194372903978e-05	"protein_coding"	"WW domain binding protein 2 [Source:MGI Symbol;Acc:MGI:104709]"	22378	"up"
"ENSMUSG00000063232.16"	"Serpina11"	-1.91383015124111	6.7624909526721	21.627545907585	4.08658260943366e-05	"protein_coding"	"serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 11 [Source:MGI Symbol;Acc:MGI:2685741]"	380780	"down"
"ENSMUSG00000028470.10"	"Hint2"	-1.55813235630139	7.35495669997081	21.2769903549987	4.10253113838007e-05	"protein_coding"	"histidine triad nucleotide binding protein 2 [Source:MGI Symbol;Acc:MGI:1916167]"	68917	"down"
"ENSMUSG00000026463.17"	"Atp2b4"	-1.70901795782108	7.11811852575376	21.1861237223559	4.23089644824323e-05	"protein_coding"	"ATPase, Ca++ transporting, plasma membrane 4 [Source:MGI Symbol;Acc:MGI:88111]"	381290	"down"
"ENSMUSG00000006058.10"	"Snf8"	-1.46255927465764	8.23801764546824	20.8607148597946	4.72642472908571e-05	"protein_coding"	"SNF8, ESCRT-II complex subunit, homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1343161]"	27681	"down"
"ENSMUSG00000069744.7"	"Psmb3"	-1.76347704412724	10.097076461851	22.7891437712326	4.77664462540801e-05	"protein_coding"	"proteasome (prosome, macropain) subunit, beta type 3 [Source:MGI Symbol;Acc:MGI:1347014]"	26446	"down"
"ENSMUSG00000035151.12"	"Elmod2"	-1.99300156373544	5.86064467009788	20.715225065529	4.96742534365802e-05	"protein_coding"	"ELMO/CED-12 domain containing 2 [Source:MGI Symbol;Acc:MGI:2445165]"	244548	"down"
"ENSMUSG00000059713.12"	"Rcan3"	-1.47655737011872	6.96809416336849	20.5582488710616	5.24203827536883e-05	"protein_coding"	"regulator of calcineurin 3 [Source:MGI Symbol;Acc:MGI:1858220]"	53902	"down"
"ENSMUSG00000025647.16"	"Shisa5"	2.0293419331316	5.87057082635315	20.4239703886433	5.48964099752153e-05	"protein_coding"	"shisa family member 5 [Source:MGI Symbol;Acc:MGI:1915044]"	66940	"up"
"ENSMUSG00000027170.12"	"Eif3m"	-1.81367699985015	7.45455559724251	21.5376741626338	5.55716776273593e-05	"protein_coding"	"eukaryotic translation initiation factor 3, subunit M [Source:MGI Symbol;Acc:MGI:1351744]"	98221	"down"
"ENSMUSG00000056413.16"	"Adap1"	-1.54327700103098	7.11817790812168	20.3326058723854	5.66513802464574e-05	"protein_coding"	"ArfGAP with dual PH domains 1 [Source:MGI Symbol;Acc:MGI:2442201]"	231821	"down"
"ENSMUSG00000030887.4"	"Pdzd9"	2.32030276024456	5.66918537379552	20.3430701178755	5.69667691991807e-05	"protein_coding"	"PDZ domain containing 9 [Source:MGI Symbol;Acc:MGI:1915233]"	67983	"up"
"ENSMUSG00000032802.8"	"Srxn1"	1.34002176141516	8.416054227229	20.2444979228867	5.83998765553712e-05	"protein_coding"	"sulfiredoxin 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:104971]"	76650	"up"
"ENSMUSG00000015711.8"	"Prune1"	-1.41765704810258	8.31850997458445	20.2306836927013	5.86791365522988e-05	"protein_coding"	"prune exopolyphosphatase [Source:MGI Symbol;Acc:MGI:1925152]"	229589	"down"
"ENSMUSG00000014077.13"	"Chp1"	1.82603639410844	6.04845577943986	20.1768356288489	5.97812044037816e-05	"protein_coding"	"calcineurin-like EF hand protein 1 [Source:MGI Symbol;Acc:MGI:1927185]"	56398	"up"
"ENSMUSG00000023224.12"	"Serping1"	2.86909332344563	5.00046575796587	20.0956262150863	6.14847032944511e-05	"protein_coding"	"serine (or cysteine) peptidase inhibitor, clade G, member 1 [Source:MGI Symbol;Acc:MGI:894696]"	12258	"up"
"ENSMUSG00000030704.14"	"Rab6a"	1.34498704386354	9.26228038299444	19.9705780068329	6.4208563431354e-05	"protein_coding"	"RAB6A, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:894313]"	19346	"up"
"ENSMUSG00000001964.14"	"Emd"	2.01706409867406	6.16887201494821	19.9828016175351	6.70991486992974e-05	"protein_coding"	"emerin [Source:MGI Symbol;Acc:MGI:108117]"	13726	"up"
"ENSMUSG00000030744.13"	"Rps3"	1.65197113157356	8.94748186141059	20.9469681443561	6.78128830432579e-05	"protein_coding"	"ribosomal protein S3 [Source:MGI Symbol;Acc:MGI:1350917]"	27050	"up"
"ENSMUSG00000030103.11"	"Bhlhe40"	-3.56674818572803	4.63990774772935	20.0559777115972	6.90828781830398e-05	"protein_coding"	"basic helix-loop-helix family, member e40 [Source:MGI Symbol;Acc:MGI:1097714]"	20893	"down"
"ENSMUSG00000022964.14"	"Tmem50b"	2.1143207863297	6.67992787486091	21.3211336257449	7.03706732951946e-05	"protein_coding"	"transmembrane protein 50B [Source:MGI Symbol;Acc:MGI:1925225]"	77975	"up"
"ENSMUSG00000062006.12"	"Rpl34"	1.29637683718905	9.06506146535063	19.6984267997037	7.05859357526694e-05	"protein_coding"	"ribosomal protein L34 [Source:MGI Symbol;Acc:MGI:1915686]"	68436	"up"
"ENSMUSG00000035722.15"	"Abca7"	-1.53063125705163	7.16397010685994	19.6576386104125	7.15978445300862e-05	"protein_coding"	"ATP-binding cassette, sub-family A (ABC1), member 7 [Source:MGI Symbol;Acc:MGI:1351646]"	27403	"down"
"ENSMUSG00000053580.16"	"Tanc2"	-1.76259097670816	6.37501427767991	19.540023881004	7.46022832227223e-05	"protein_coding"	"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2 [Source:MGI Symbol;Acc:MGI:2444121]"	77097	"down"
"ENSMUSG00000037852.8"	"Cpe"	-1.24367394331984	11.7167397237557	19.5167792552357	7.5211633214229e-05	"protein_coding"	"carboxypeptidase E [Source:MGI Symbol;Acc:MGI:101932]"	12876	"down"
"ENSMUSG00000044629.5"	"Cnrip1"	2.01689067905631	5.84473524768709	19.4891417592315	7.59429757484001e-05	"protein_coding"	"cannabinoid receptor interacting protein 1 [Source:MGI Symbol;Acc:MGI:1917505]"	380686	"up"
