Gene type	Gene name	Gene description	NCBI gene (formerly Entrezgene) ID	Gene stable ID version
protein_coding	Ccnd2	cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]	12444	ENSMUSG00000000184.12
protein_coding	Gpr107	G protein-coupled receptor 107 [Source:MGI Symbol;Acc:MGI:2139054]	277463	ENSMUSG00000000194.13
protein_coding	Th	tyrosine hydroxylase [Source:MGI Symbol;Acc:MGI:98735]	21823	ENSMUSG00000000214.11
protein_coding	Drp2	dystrophin related protein 2 [Source:MGI Symbol;Acc:MGI:107432]	13497	ENSMUSG00000000223.13
protein_coding	Trim25	tripartite motif-containing 25 [Source:MGI Symbol;Acc:MGI:102749]	217069	ENSMUSG00000000275.16
protein_coding	Dgke	diacylglycerol kinase, epsilon [Source:MGI Symbol;Acc:MGI:1889276]	56077	ENSMUSG00000000276.11
protein_coding	Scpep1	serine carboxypeptidase 1 [Source:MGI Symbol;Acc:MGI:1921867]	74617	ENSMUSG00000000278.10
protein_coding	Mnt	max binding protein [Source:MGI Symbol;Acc:MGI:109150]	17428	ENSMUSG00000000282.12
protein_coding	Cdh1	cadherin 1 [Source:MGI Symbol;Acc:MGI:88354]	12550	ENSMUSG00000000303.12
protein_coding	Cdh4	cadherin 4 [Source:MGI Symbol;Acc:MGI:99218]	12561	ENSMUSG00000000305.12
protein_coding	Ckmt1	creatine kinase, mitochondrial 1, ubiquitous [Source:MGI Symbol;Acc:MGI:99441]	12716	ENSMUSG00000000308.14
protein_coding	Clec10a	C-type lectin domain family 10, member A [Source:MGI Symbol;Acc:MGI:96975]	17312	ENSMUSG00000000318.16
protein_coding	Rtca	RNA 3'-terminal phosphate cyclase [Source:MGI Symbol;Acc:MGI:1913618]	66368	ENSMUSG00000000339.14
protein_coding	Dbt	dihydrolipoamide branched chain transacylase E2 [Source:MGI Symbol;Acc:MGI:105386]	13171	ENSMUSG00000000340.10
protein_coding	Mcts1	malignant T cell amplified sequence 1 [Source:MGI Symbol;Acc:MGI:1916245]	68995	ENSMUSG00000000355.13
protein_coding	Ccm2	cerebral cavernous malformation 2 [Source:MGI Symbol;Acc:MGI:2384924]	216527	ENSMUSG00000000378.15
protein_coding	Tbrg4	transforming growth factor beta regulated gene 4 [Source:MGI Symbol;Acc:MGI:1100868]	21379	ENSMUSG00000000384.15
protein_coding	Ndufa9	NADH:ubiquinone oxidoreductase subunit A9 [Source:MGI Symbol;Acc:MGI:1913358]	66108	ENSMUSG00000000399.10
protein_coding	Cttnbp2	cortactin binding protein 2 [Source:MGI Symbol;Acc:MGI:1353467]	30785	ENSMUSG00000000416.16
protein_coding	Galnt1	polypeptide N-acetylgalactosaminyltransferase 1 [Source:MGI Symbol;Acc:MGI:894693]	14423	ENSMUSG00000000420.15
protein_coding	Mkrn2	makorin, ring finger protein, 2 [Source:MGI Symbol;Acc:MGI:1914277]	67027	ENSMUSG00000000439.9
protein_coding	Raf1	v-raf-leukemia viral oncogene 1 [Source:MGI Symbol;Acc:MGI:97847]	110157	ENSMUSG00000000441.17
protein_coding	Tom1l2	target of myb1-like 2 (chicken) [Source:MGI Symbol;Acc:MGI:2443306]	216810	ENSMUSG00000000538.18
protein_coding	Gabra2	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2 [Source:MGI Symbol;Acc:MGI:95614]	14395	ENSMUSG00000000560.9
protein_coding	Wdr77	WD repeat domain 77 [Source:MGI Symbol;Acc:MGI:1917715]	70465	ENSMUSG00000000561.14
protein_coding	Atp5pb	ATP synthase peripheral stalk-membrane subunit b [Source:MGI Symbol;Acc:MGI:1100495]	11950	ENSMUSG00000000563.17
protein_coding	Sox9	SRY (sex determining region Y)-box 9 [Source:MGI Symbol;Acc:MGI:98371]	20682	ENSMUSG00000000567.5
protein_coding	Hnrnpd	heterogeneous nuclear ribonucleoprotein D [Source:MGI Symbol;Acc:MGI:101947]	11991	ENSMUSG00000000568.15
protein_coding	Dynlt1c	dynein light chain Tctex-type 1C [Source:MGI Symbol;Acc:MGI:3807476]	100040563	ENSMUSG00000000579.14
protein_coding	C1d	C1D nuclear receptor co-repressor [Source:MGI Symbol;Acc:MGI:1927354]	57316	ENSMUSG00000000581.8
protein_coding	Gm2a	GM2 ganglioside activator protein [Source:MGI Symbol;Acc:MGI:95762]	14667	ENSMUSG00000000594.7
protein_coding	Krit1	KRIT1, ankyrin repeat containing [Source:MGI Symbol;Acc:MGI:1930618]	79264	ENSMUSG00000000600.15
protein_coding	Clcn4	chloride channel, voltage-sensitive 4 [Source:MGI Symbol;Acc:MGI:104571]	12727	ENSMUSG00000000605.9
protein_coding	Sema4f	sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain [Source:MGI Symbol;Acc:MGI:1340055]	20355	ENSMUSG00000000627.15
protein_coding	Hk2	hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197]	15277	ENSMUSG00000000628.10
protein_coding	Myo18a	myosin XVIIIA [Source:MGI Symbol;Acc:MGI:2667185]	360013	ENSMUSG00000000631.20
protein_coding	Sez6	seizure related gene 6 [Source:MGI Symbol;Acc:MGI:104745]	20370	ENSMUSG00000000632.13
protein_coding	Cd52	CD52 antigen [Source:MGI Symbol;Acc:MGI:1346088]	23833	ENSMUSG00000000682.7
protein_coding	Hoxb6	homeobox B6 [Source:MGI Symbol;Acc:MGI:96187]	15414	ENSMUSG00000000690.5
protein_coding	Kat2b	K(lysine) acetyltransferase 2B [Source:MGI Symbol;Acc:MGI:1343094]	18519	ENSMUSG00000000708.14
protein_coding	Rpa1	replication protein A1 [Source:MGI Symbol;Acc:MGI:1915525]	68275	ENSMUSG00000000751.13
protein_coding	Serpinf1	serine (or cysteine) peptidase inhibitor, clade F, member 1 [Source:MGI Symbol;Acc:MGI:108080]	20317	ENSMUSG00000000753.15
protein_coding	Tubgcp3	tubulin, gamma complex associated protein 3 [Source:MGI Symbol;Acc:MGI:2183752]	259279	ENSMUSG00000000759.14
protein_coding	Ddx3x	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked [Source:MGI Symbol;Acc:MGI:103064]	13205	ENSMUSG00000000787.12
protein_coding	Slc5a5	solute carrier family 5 (sodium iodide symporter), member 5 [Source:MGI Symbol;Acc:MGI:2149330]	114479	ENSMUSG00000000792.2
protein_coding	Usp32	ubiquitin specific peptidase 32 [Source:MGI Symbol;Acc:MGI:2144475]	237898	ENSMUSG00000000804.14
protein_coding	Txnrd3	thioredoxin reductase 3 [Source:MGI Symbol;Acc:MGI:2386711]	232223	ENSMUSG00000000811.13
protein_coding	Zfp512b	zinc finger protein 512B [Source:MGI Symbol;Acc:MGI:2685478]	269401	ENSMUSG00000000823.16
protein_coding	Dnajc5	DnaJ heat shock protein family (Hsp40) member C5 [Source:MGI Symbol;Acc:MGI:892995]	13002	ENSMUSG00000000826.16
protein_coding	Tpd52l2	tumor protein D52-like 2 [Source:MGI Symbol;Acc:MGI:1913564]	66314	ENSMUSG00000000827.18
protein_coding	Fmr1	fragile X mental retardation 1 [Source:MGI Symbol;Acc:MGI:95564]	14265	ENSMUSG00000000838.17
protein_coding	Bcl11a	B cell CLL/lymphoma 11A (zinc finger protein) [Source:MGI Symbol;Acc:MGI:106190]	14025	ENSMUSG00000000861.15
protein_coding	Pxmp4	peroxisomal membrane protein 4 [Source:MGI Symbol;Acc:MGI:1891701]	59038	ENSMUSG00000000876.11
protein_coding	Dlg3	discs large MAGUK scaffold protein 3 [Source:MGI Symbol;Acc:MGI:1888986]	53310	ENSMUSG00000000881.12
protein_coding	Smarcb1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1 [Source:MGI Symbol;Acc:MGI:1328366]	20587	ENSMUSG00000000902.13
protein_coding	Hip1r	huntingtin interacting protein 1 related [Source:MGI Symbol;Acc:MGI:1352504]	29816	ENSMUSG00000000915.15
protein_coding	Hoxa10	homeobox A10 [Source:MGI Symbol;Acc:MGI:96171]	15395	ENSMUSG00000000938.11
protein_coding	Hoxa4	homeobox A4 [Source:MGI Symbol;Acc:MGI:96176]	15401	ENSMUSG00000000942.10
protein_coding	Heatr6	HEAT repeat containing 6 [Source:MGI Symbol;Acc:MGI:1919790]	217026	ENSMUSG00000000976.13
protein_coding	Ilf2	interleukin enhancer binding factor 2 [Source:MGI Symbol;Acc:MGI:1915031]	67781	ENSMUSG00000001016.12
protein_coding	Chtop	chromatin target of PRMT1 [Source:MGI Symbol;Acc:MGI:1913761]	66511	ENSMUSG00000001017.15
protein_coding	Snapin	SNAP-associated protein [Source:MGI Symbol;Acc:MGI:1333745]	20615	ENSMUSG00000001018.15
protein_coding	S100a4	S100 calcium binding protein A4 [Source:MGI Symbol;Acc:MGI:1330282]	20198	ENSMUSG00000001020.8
protein_coding	S100a6	S100 calcium binding protein A6 (calcyclin) [Source:MGI Symbol;Acc:MGI:1339467]	20200	ENSMUSG00000001025.8
protein_coding	Mapk7	mitogen-activated protein kinase 7 [Source:MGI Symbol;Acc:MGI:1346347]	23939	ENSMUSG00000001034.17
protein_coding	Epn2	epsin 2 [Source:MGI Symbol;Acc:MGI:1333766]	13855	ENSMUSG00000001036.17
protein_coding	Sec24b	Sec24 related gene family, member B (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2139764]	99683	ENSMUSG00000001052.15
protein_coding	N4bp3	NEDD4 binding protein 3 [Source:MGI Symbol;Acc:MGI:2442218]	212706	ENSMUSG00000001053.15
protein_coding	Rmnd5b	required for meiotic nuclear division 5 homolog B [Source:MGI Symbol;Acc:MGI:1913339]	66089	ENSMUSG00000001054.9
protein_coding	Nhp2	NHP2 ribonucleoprotein [Source:MGI Symbol;Acc:MGI:1098547]	52530	ENSMUSG00000001056.3
protein_coding	Mfsd10	major facilitator superfamily domain containing 10 [Source:MGI Symbol;Acc:MGI:1915544]	68294	ENSMUSG00000001082.12
protein_coding	Luzp1	leucine zipper protein 1 [Source:MGI Symbol;Acc:MGI:107629]	269593	ENSMUSG00000001089.14
protein_coding	Kctd10	potassium channel tetramerisation domain containing 10 [Source:MGI Symbol;Acc:MGI:2141207]	330171	ENSMUSG00000001098.15
protein_coding	Poldip2	polymerase (DNA-directed), delta interacting protein 2 [Source:MGI Symbol;Acc:MGI:1915061]	67811	ENSMUSG00000001100.10
protein_coding	Ift20	intraflagellar transport 20 [Source:MGI Symbol;Acc:MGI:1915585]	55978	ENSMUSG00000001105.15
protein_coding	Col6a1	collagen, type VI, alpha 1 [Source:MGI Symbol;Acc:MGI:88459]	12833	ENSMUSG00000001119.7
protein_coding	Pcbp3	poly(rC) binding protein 3 [Source:MGI Symbol;Acc:MGI:1890470]	59093	ENSMUSG00000001120.15
protein_coding	Lgals9	lectin, galactose binding, soluble 9 [Source:MGI Symbol;Acc:MGI:109496]	16859	ENSMUSG00000001123.15
protein_coding	Araf	Araf proto-oncogene, serine/threonine kinase [Source:MGI Symbol;Acc:MGI:88065]	11836	ENSMUSG00000001127.12
protein_coding	Uxt	ubiquitously expressed prefoldin like chaperone [Source:MGI Symbol;Acc:MGI:1277988]	22294	ENSMUSG00000001134.9
protein_coding	Cnnm3	cyclin M3 [Source:MGI Symbol;Acc:MGI:2151055]	94218	ENSMUSG00000001138.13
protein_coding	Lman2l	lectin, mannose-binding 2-like [Source:MGI Symbol;Acc:MGI:2443010]	214895	ENSMUSG00000001143.13
protein_coding	Mxd1	MAX dimerization protein 1 [Source:MGI Symbol;Acc:MGI:96908]	17119	ENSMUSG00000001156.9
protein_coding	Gmcl1	germ cell-less, spermatogenesis associated 1 [Source:MGI Symbol;Acc:MGI:1345156]	23885	ENSMUSG00000001157.13
protein_coding	Snrnp27	small nuclear ribonucleoprotein 27 (U4/U6.U5) [Source:MGI Symbol;Acc:MGI:1913868]	66618	ENSMUSG00000001158.13
protein_coding	Oas1c	2'-5' oligoadenylate synthetase 1C [Source:MGI Symbol;Acc:MGI:2149633]	114643	ENSMUSG00000001166.17
protein_coding	Ocrl	OCRL, inositol polyphosphate-5-phosphatase [Source:MGI Symbol;Acc:MGI:109589]	320634	ENSMUSG00000001173.15
protein_coding	Ramp2	receptor (calcitonin) activity modifying protein 2 [Source:MGI Symbol;Acc:MGI:1859650]	54409	ENSMUSG00000001240.13
protein_coding	Lsr	lipolysis stimulated lipoprotein receptor [Source:MGI Symbol;Acc:MGI:1927471]	54135	ENSMUSG00000001247.16
protein_coding	Gabrg1	gamma-aminobutyric acid (GABA) A receptor, subunit gamma 1 [Source:MGI Symbol;Acc:MGI:103156]	14405	ENSMUSG00000001260.10
protein_coding	Myg1	melanocyte proliferating gene 1 [Source:MGI Symbol;Acc:MGI:1929864]	60315	ENSMUSG00000001285.12
protein_coding	Pfdn5	prefoldin 5 [Source:MGI Symbol;Acc:MGI:1928753]	56612	ENSMUSG00000001289.12
protein_coding	Efnb2	ephrin B2 [Source:MGI Symbol;Acc:MGI:105097]	13642	ENSMUSG00000001300.16
protein_coding	Rrp15	ribosomal RNA processing 15 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914473]	67223	ENSMUSG00000001305.5
protein_coding	Srr	serine racemase [Source:MGI Symbol;Acc:MGI:1351636]	27364	ENSMUSG00000001323.17
protein_coding	Sync	syncoilin [Source:MGI Symbol;Acc:MGI:1916078]	68828	ENSMUSG00000001333.9
protein_coding	Fndc5	fibronectin type III domain containing 5 [Source:MGI Symbol;Acc:MGI:1917614]	384061	ENSMUSG00000001334.9
protein_coding	Fbxo9	f-box protein 9 [Source:MGI Symbol;Acc:MGI:1918788]	71538	ENSMUSG00000001366.14
protein_coding	Vps50	VPS50 EARP/GARPII complex subunit [Source:MGI Symbol;Acc:MGI:1920538]	73288	ENSMUSG00000001376.17
protein_coding	Ube2c	ubiquitin-conjugating enzyme E2C [Source:MGI Symbol;Acc:MGI:1915862]	68612	ENSMUSG00000001403.13
protein_coding	Smg5	Smg-5 homolog, nonsense mediated mRNA decay factor (C. elegans) [Source:MGI Symbol;Acc:MGI:2447364]	229512	ENSMUSG00000001415.10
protein_coding	Cct3	chaperonin containing Tcp1, subunit 3 (gamma) [Source:MGI Symbol;Acc:MGI:104708]	12462	ENSMUSG00000001416.13
protein_coding	Glmp	glycosylated lysosomal membrane protein [Source:MGI Symbol;Acc:MGI:1913318]	56700	ENSMUSG00000001418.13
protein_coding	Mef2d	myocyte enhancer factor 2D [Source:MGI Symbol;Acc:MGI:99533]	17261	ENSMUSG00000001419.17
protein_coding	Tmem79	transmembrane protein 79 [Source:MGI Symbol;Acc:MGI:1919163]	71913	ENSMUSG00000001420.13
protein_coding	Snd1	staphylococcal nuclease and tudor domain containing 1 [Source:MGI Symbol;Acc:MGI:1929266]	56463	ENSMUSG00000001424.14
protein_coding	Slc19a1	solute carrier family 19 (folate transporter), member 1 [Source:MGI Symbol;Acc:MGI:103182]	20509	ENSMUSG00000001436.15
protein_coding	Kpnb1	karyopherin (importin) beta 1 [Source:MGI Symbol;Acc:MGI:107532]	16211	ENSMUSG00000001440.5
protein_coding	Npepps	aminopeptidase puromycin sensitive [Source:MGI Symbol;Acc:MGI:1101358]	19155	ENSMUSG00000001441.13
protein_coding	Mrpl10	mitochondrial ribosomal protein L10 [Source:MGI Symbol;Acc:MGI:1333801]	107732	ENSMUSG00000001445.10
protein_coding	Cyp51	cytochrome P450, family 51 [Source:MGI Symbol;Acc:MGI:106040]	13121	ENSMUSG00000001467.5
protein_coding	Pax9	paired box 9 [Source:MGI Symbol;Acc:MGI:97493]	18511	ENSMUSG00000001497.18
protein_coding	Col1a1	collagen, type I, alpha 1 [Source:MGI Symbol;Acc:MGI:88467]	12842	ENSMUSG00000001506.10
protein_coding	Itga3	integrin alpha 3 [Source:MGI Symbol;Acc:MGI:96602]	16400	ENSMUSG00000001507.16
protein_coding	Itfg2	integrin alpha FG-GAP repeat containing 2 [Source:MGI Symbol;Acc:MGI:1915450]	101142	ENSMUSG00000001518.12
protein_coding	Tulp3	tubby-like protein 3 [Source:MGI Symbol;Acc:MGI:1329045]	22158	ENSMUSG00000001521.12
protein_coding	Gtf2h4	general transcription factor II H, polypeptide 4 [Source:MGI Symbol;Acc:MGI:1338799]	14885	ENSMUSG00000001524.14
protein_coding	Tubb5	tubulin, beta 5 class I [Source:MGI Symbol;Acc:MGI:107812]	22154	ENSMUSG00000001525.10
protein_coding	Jup	junction plakoglobin [Source:MGI Symbol;Acc:MGI:96650]	16480	ENSMUSG00000001552.14
protein_coding	Fkbp10	FK506 binding protein 10 [Source:MGI Symbol;Acc:MGI:104769]	14230	ENSMUSG00000001555.10
protein_coding	Nom1	nucleolar protein with MIF4G domain 1 [Source:MGI Symbol;Acc:MGI:1861749]	433864	ENSMUSG00000001569.10
protein_coding	Tnk1	tyrosine kinase, non-receptor, 1 [Source:MGI Symbol;Acc:MGI:1930958]	83813	ENSMUSG00000001583.13
protein_coding	Tcea3	transcription elongation factor A (SII), 3 [Source:MGI Symbol;Acc:MGI:1196908]	21401	ENSMUSG00000001604.14
protein_coding	Stk38l	serine/threonine kinase 38 like [Source:MGI Symbol;Acc:MGI:1922250]	232533	ENSMUSG00000001630.13
protein_coding	Brpf1	bromodomain and PHD finger containing, 1 [Source:MGI Symbol;Acc:MGI:1926033]	78783	ENSMUSG00000001632.16
protein_coding	Hoxc8	homeobox C8 [Source:MGI Symbol;Acc:MGI:96198]	15426	ENSMUSG00000001657.7
protein_coding	Hoxc6	homeobox C6 [Source:MGI Symbol;Acc:MGI:96197]	15425	ENSMUSG00000001661.5
protein_coding	Gstt1	glutathione S-transferase, theta 1 [Source:MGI Symbol;Acc:MGI:107379]	14871	ENSMUSG00000001663.10
protein_coding	Ddt	D-dopachrome tautomerase [Source:MGI Symbol;Acc:MGI:1298381]	13202	ENSMUSG00000001666.8
protein_coding	Ddx18	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18 [Source:MGI Symbol;Acc:MGI:1914192]	66942	ENSMUSG00000001674.11
protein_coding	Ubl3	ubiquitin-like 3 [Source:MGI Symbol;Acc:MGI:1344373]	24109	ENSMUSG00000001687.15
protein_coding	Akt1	thymoma viral proto-oncogene 1 [Source:MGI Symbol;Acc:MGI:87986]	11651	ENSMUSG00000001729.14
protein_coding	Naglu	alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB) [Source:MGI Symbol;Acc:MGI:1351641]	27419	ENSMUSG00000001751.9
protein_coding	Coasy	Coenzyme A synthase [Source:MGI Symbol;Acc:MGI:1918993]	71743	ENSMUSG00000001755.12
protein_coding	Smo	smoothened, frizzled class receptor [Source:MGI Symbol;Acc:MGI:108075]	319757	ENSMUSG00000001761.7
protein_coding	Tspan33	tetraspanin 33 [Source:MGI Symbol;Acc:MGI:1919012]	232670	ENSMUSG00000001763.14
protein_coding	Crnkl1	crooked neck pre-mRNA splicing factor 1 [Source:MGI Symbol;Acc:MGI:1914127]	66877	ENSMUSG00000001767.5
protein_coding	Folh1	folate hydrolase 1 [Source:MGI Symbol;Acc:MGI:1858193]	53320	ENSMUSG00000001773.14
protein_coding	Rtcb	RNA 2',3'-cyclic phosphate and 5'-OH ligase [Source:MGI Symbol;Acc:MGI:106379]	28088	ENSMUSG00000001783.3
protein_coding	Fbxo7	F-box protein 7 [Source:MGI Symbol;Acc:MGI:1917004]	69754	ENSMUSG00000001786.14
protein_coding	Capns1	calpain, small subunit 1 [Source:MGI Symbol;Acc:MGI:88266]	12336	ENSMUSG00000001794.13
protein_coding	Lrp3	low density lipoprotein receptor-related protein 3 [Source:MGI Symbol;Acc:MGI:3584516]	435965	ENSMUSG00000001802.16
protein_coding	Clpb	ClpB caseinolytic peptidase B [Source:MGI Symbol;Acc:MGI:1100517]	20480	ENSMUSG00000001829.17
protein_coding	Zdhhc4	zinc finger, DHHC domain containing 4 [Source:MGI Symbol;Acc:MGI:1920131]	72881	ENSMUSG00000001844.10
protein_coding	Rac1	Rac family small GTPase 1 [Source:MGI Symbol;Acc:MGI:97845]	19353	ENSMUSG00000001847.14
protein_coding	Nup214	nucleoporin 214 [Source:MGI Symbol;Acc:MGI:1095411]	227720	ENSMUSG00000001855.15
protein_coding	Aif1l	allograft inflammatory factor 1-like [Source:MGI Symbol;Acc:MGI:1919598]	108897	ENSMUSG00000001864.13
protein_coding	Ugp2	UDP-glucose pyrophosphorylase 2 [Source:MGI Symbol;Acc:MGI:2183447]	216558	ENSMUSG00000001891.16
protein_coding	Nfix	nuclear factor I/X [Source:MGI Symbol;Acc:MGI:97311]	18032	ENSMUSG00000001911.16
protein_coding	Slc1a5	solute carrier family 1 (neutral amino acid transporter), member 5 [Source:MGI Symbol;Acc:MGI:105305]	20514	ENSMUSG00000001918.17
protein_coding	Uba1	ubiquitin-like modifier activating enzyme 1 [Source:MGI Symbol;Acc:MGI:98890]	22201	ENSMUSG00000001924.15
protein_coding	Fam50a	family with sequence similarity 50, member A [Source:MGI Symbol;Acc:MGI:1351626]	108160	ENSMUSG00000001962.8
protein_coding	Emd	emerin [Source:MGI Symbol;Acc:MGI:108117]	13726	ENSMUSG00000001964.14
protein_coding	Taco1	translational activator of mitochondrially encoded cytochrome c oxidase I [Source:MGI Symbol;Acc:MGI:1917457]	70207	ENSMUSG00000001983.7
protein_coding	Gria3	glutamate receptor, ionotropic, AMPA3 (alpha 3) [Source:MGI Symbol;Acc:MGI:95810]	53623	ENSMUSG00000001986.16
protein_coding	Ap4e1	adaptor-related protein complex AP-4, epsilon 1 [Source:MGI Symbol;Acc:MGI:1336993]	108011	ENSMUSG00000001998.15
protein_coding	Blvra	biliverdin reductase A [Source:MGI Symbol;Acc:MGI:88170]	109778	ENSMUSG00000001999.15
protein_coding	Pdzd4	PDZ domain containing 4 [Source:MGI Symbol;Acc:MGI:2443483]	245469	ENSMUSG00000002006.12
protein_coding	Idh3g	isocitrate dehydrogenase 3 (NAD+), gamma [Source:MGI Symbol;Acc:MGI:1099463]	15929	ENSMUSG00000002010.17
protein_coding	Pnck	pregnancy upregulated non-ubiquitously expressed CaM kinase [Source:MGI Symbol;Acc:MGI:1347357]	93843	ENSMUSG00000002012.13
protein_coding	Ssr4	signal sequence receptor, delta [Source:MGI Symbol;Acc:MGI:1099464]	20832	ENSMUSG00000002014.12
protein_coding	Bcap31	B cell receptor associated protein 31 [Source:MGI Symbol;Acc:MGI:1350933]	27061	ENSMUSG00000002015.5
protein_coding	Trappc6a	trafficking protein particle complex 6A [Source:MGI Symbol;Acc:MGI:1914341]	67091	ENSMUSG00000002043.17
protein_coding	Supt6	SPT6, histone chaperone and transcription elongation factor [Source:MGI Symbol;Acc:MGI:107726]	20926	ENSMUSG00000002052.6
protein_coding	Unc119	unc-119 lipid binding chaperone [Source:MGI Symbol;Acc:MGI:1328357]	22248	ENSMUSG00000002058.13
protein_coding	Rab34	RAB34, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:104606]	19376	ENSMUSG00000002059.18
protein_coding	Sdf2	stromal cell derived factor 2 [Source:MGI Symbol;Acc:MGI:108019]	20316	ENSMUSG00000002064.10
protein_coding	Ccne1	cyclin E1 [Source:MGI Symbol;Acc:MGI:88316]	12447	ENSMUSG00000002068.16
protein_coding	Bbc3	BCL2 binding component 3 [Source:MGI Symbol;Acc:MGI:2181667]	170770	ENSMUSG00000002083.13
protein_coding	Psmc3	proteasome (prosome, macropain) 26S subunit, ATPase 3 [Source:MGI Symbol;Acc:MGI:1098754]	19182	ENSMUSG00000002102.15
protein_coding	Rapsn	receptor-associated protein of the synapse [Source:MGI Symbol;Acc:MGI:99422]	19400	ENSMUSG00000002104.11
protein_coding	Slc39a13	solute carrier family 39 (metal ion transporter), member 13 [Source:MGI Symbol;Acc:MGI:1915677]	68427	ENSMUSG00000002105.15
protein_coding	Celf2	CUGBP, Elav-like family member 2 [Source:MGI Symbol;Acc:MGI:1338822]	14007	ENSMUSG00000002107.18
protein_coding	Nr1h3	nuclear receptor subfamily 1, group H, member 3 [Source:MGI Symbol;Acc:MGI:1352462]	22259	ENSMUSG00000002108.10
protein_coding	Ddb2	damage specific DNA binding protein 2 [Source:MGI Symbol;Acc:MGI:1355314]	107986	ENSMUSG00000002109.14
protein_coding	Sf3a1	splicing factor 3a, subunit 1 [Source:MGI Symbol;Acc:MGI:1914715]	67465	ENSMUSG00000002129.11
protein_coding	Stat6	signal transducer and activator of transcription 6 [Source:MGI Symbol;Acc:MGI:103034]	20852	ENSMUSG00000002147.18
protein_coding	Clgn	calmegin [Source:MGI Symbol;Acc:MGI:107472]	12745	ENSMUSG00000002190.13
protein_coding	Vrk3	vaccinia related kinase 3 [Source:MGI Symbol;Acc:MGI:2182465]	101568	ENSMUSG00000002205.16
protein_coding	Smg9	smg-9 homolog, nonsense mediated mRNA decay factor (C. elegans) [Source:MGI Symbol;Acc:MGI:1919247]	71997	ENSMUSG00000002210.11
protein_coding	Paxip1	PAX interacting (with transcription-activation domain) protein 1 [Source:MGI Symbol;Acc:MGI:1890430]	55982	ENSMUSG00000002221.11
protein_coding	Rmnd5a	required for meiotic nuclear division 5 homolog A [Source:MGI Symbol;Acc:MGI:1915727]	68477	ENSMUSG00000002222.14
protein_coding	Ppm1j	protein phosphatase 1J [Source:MGI Symbol;Acc:MGI:1919137]	71887	ENSMUSG00000002228.7
protein_coding	Rhoc	ras homolog family member C [Source:MGI Symbol;Acc:MGI:106028]	11853	ENSMUSG00000002233.13
protein_coding	Tm9sf1	transmembrane 9 superfamily member 1 [Source:MGI Symbol;Acc:MGI:1921390]	74140	ENSMUSG00000002320.15
protein_coding	Ncan	neurocan [Source:MGI Symbol;Acc:MGI:104694]	13004	ENSMUSG00000002341.8
protein_coding	Tmem161a	transmembrane protein 161A [Source:MGI Symbol;Acc:MGI:2384577]	234371	ENSMUSG00000002342.17
